"","v1","date","name","cumulative_total","active_cases","cumulative_student_cases","cumulative_faculty_staff_cases","type","district","student_population","Student_Covid_Per1000","Active_Covid_Per1000"
"58",216,2021-08-30,"U OF A, FORT SMITH",33,12,16,6,"COLLEGE/UNIVERSITY","u_of_a,_fort_smith",6265,2.55,1.92
"59",2001,2021-08-26,"U OF A, FORT SMITH",28,11,11,6,"COLLEGE/UNIVERSITY","u_of_a,_fort_smith",6265,1.76,1.76
"60",1522,2021-08-23,"U OF A, FORT SMITH",19,9,8,5,"PUBLIC SCHOOL DISTRICT","u_of_a,_fort_smith",6265,1.28,1.44
"61",944,2021-08-16,"U OF A, FORT SMITH",10,6,NA,NA,"COLLEGE/UNIVERSITY","u_of_a,_fort_smith",6265,NA,0.96
"62",229,2021-08-30,"U OF A, LITTLE ROCK",23,6,5,6,"COLLEGE/UNIVERSITY","u_of_a,_little_rock",9581,0.52,0.63
"63",2161,2021-08-26,"U OF A, LITTLE ROCK",18,5,NA,NA,"COLLEGE/UNIVERSITY","u_of_a,_little_rock",9581,NA,0.52
"64",222,2021-08-30,"U OF A, MONTICELLO",17,7,NA,NA,"COLLEGE/UNIVERSITY","u_of_a,_monticello",2855,NA,2.45
"65",2101,2021-08-26,"U OF A, MONTICELLO",12,6,NA,NA,"COLLEGE/UNIVERSITY","u_of_a,_monticello",2855,NA,2.1
"66",1542,2021-08-23,"U OF A, MONTICELLO",11,8,7,0,"PUBLIC SCHOOL DISTRICT","u_of_a,_monticello",2855,2.45,2.8
"67",1293,2021-08-19,"U OF A, MONTICELLO",10,8,6,0,"COLLEGE/UNIVERSITY","u_of_a,_monticello",2855,2.1,2.8
"68",954,2021-08-16,"U OF A, MONTICELLO",6,6,NA,NA,"COLLEGE/UNIVERSITY","u_of_a,_monticello",2855,NA,2.1
"69",209,2021-08-30,"U OF A, PINE BLUFF",42,27,23,7,"COLLEGE/UNIVERSITY","u_of_a,_pine_bluff",2498,9.21,10.81
"70",1951,2021-08-26,"U OF A, PINE BLUFF",30,21,9,5,"COLLEGE/UNIVERSITY","u_of_a,_pine_bluff",2498,3.6,8.41
"71",1532,2021-08-23,"U OF A, PINE BLUFF",14,9,NA,NA,"PUBLIC SCHOOL DISTRICT","u_of_a,_pine_bluff",2498,NA,3.6
"72",223,2021-08-30,"UACC AT HOPE-TEXARKANA, HOPE",10,7,NA,NA,"COLLEGE/UNIVERSITY","uacc_at_hope-texarkana,_hope",1396,NA,5.01
"73",2081,2021-08-26,"UACC AT HOPE-TEXARKANA, HOPE",8,7,NA,NA,"COLLEGE/UNIVERSITY","uacc_at_hope-texarkana,_hope",1396,NA,5.01
"74",220,2021-08-30,"UACC AT MORRILTON",15,8,NA,NA,"COLLEGE/UNIVERSITY","uacc_at_morrilton",1836,NA,4.36
"75",2021,2021-08-26,"UACC AT MORRILTON",13,9,NA,NA,"COLLEGE/UNIVERSITY","uacc_at_morrilton",1836,NA,4.9
"76",1572,2021-08-23,"UACC AT MORRILTON",6,5,NA,NA,"PUBLIC SCHOOL DISTRICT","uacc_at_morrilton",1836,NA,2.72
"77",1353,2021-08-19,"UACC AT MORRILTON",5,5,NA,NA,"COLLEGE/UNIVERSITY","uacc_at_morrilton",1836,NA,2.72
"78",208,2021-08-30,"UNIVERSITY OF CENTRAL ARKANSAS, CONWAY",110,44,48,16,"COLLEGE/UNIVERSITY","university_of_central_arkansas,_conway",10869,4.42,4.05
"79",1931,2021-08-26,"UNIVERSITY OF CENTRAL ARKANSAS, CONWAY",92,43,33,15,"COLLEGE/UNIVERSITY","university_of_central_arkansas,_conway",10869,3.04,3.96
"80",1452,2021-08-23,"UNIVERSITY OF CENTRAL ARKANSAS, CONWAY",65,26,19,15,"PUBLIC SCHOOL DISTRICT","university_of_central_arkansas,_conway",10869,1.75,2.39
"81",1243,2021-08-19,"UNIVERSITY OF CENTRAL ARKANSAS, CONWAY",57,28,17,11,"COLLEGE/UNIVERSITY","university_of_central_arkansas,_conway",10869,1.56,2.58
"82",864,2021-08-16,"UNIVERSITY OF CENTRAL ARKANSAS, CONWAY",46,22,10,9,"COLLEGE/UNIVERSITY","university_of_central_arkansas,_conway",10869,0.92,2.02
