,Date,Hosp_0_10,Hosp_11_17,Hosp_18_24,Hosp_25_34,Hosp_35_44,Hosp_45_54,Hosp_55_64,Hosp_65
1,8/31/21,371,254,720,1410,1962,2905,4025,9653
,Date,Hosp_0_10,Hosp_11_17,Hosp_18_24,Hosp_25_34,Hosp_35_44,Hosp_45_54,Hosp_55_64,Hosp_65
1,8/7/21,309,222,646,1229,1754,2563,3595,8920
,,,,,,,,,
Increase,,62,32,74,181,208,342,430,733
