"county","positive","negative","recovered","total_deaths","number_tested","current_infections","date","population"
"Benton",4980,50651,4747,43,55631,190,2020-08-19,258980
"Boone",238,5550,208,2,5788,28,2020-08-19,37288
"Bradley",231,2710,186,4,2941,41,2020-08-19,10948
"Calhoun",22,1147,15,0,1169,7,2020-08-19,5202
"Carroll",408,5001,351,7,5409,50,2020-08-19,27887
"Chicot",931,3854,706,9,4785,216,2020-08-19,10826
"Clark",196,4230,177,2,4426,17,2020-08-19,22385
"Clay",150,2725,123,5,2875,22,2020-08-19,15061
"Cleburne",233,3894,197,5,4127,31,2020-08-19,25230
"Cleveland",124,1676,94,2,1800,28,2020-08-19,8226
"Columbia",252,3271,220,12,3523,20,2020-08-19,23892
"Conway",175,4291,145,3,4466,27,2020-08-19,20906
"Craighead",1560,20722,1366,13,22282,181,2020-08-19,105701
"Crawford",768,11991,617,5,12759,146,2020-08-19,62472
"Crittenden",1515,10929,1365,26,12444,124,2020-08-19,49013
"Cross",233,2798,194,4,3031,35,2020-08-19,16998
"Dallas",70,1233,61,2,1303,7,2020-08-19,7432
"Desha",212,2724,181,3,2936,28,2020-08-19,11887
"Drew",283,4130,208,3,4413,72,2020-08-19,18502
"Faulkner",1422,24252,1308,7,25674,107,2020-08-19,122416
"Franklin",147,3679,128,2,3826,17,2020-08-19,17780
"Fulton",51,741,37,0,792,14,2020-08-19,12139
"Garland",1233,19566,1013,19,20799,201,2020-08-19,98298
"Grant",157,3186,140,0,3343,17,2020-08-19,18086
"Greene",559,8436,479,3,8995,77,2020-08-19,44623
"Hempstead",277,3215,245,3,3492,29,2020-08-19,22018
"Hot Spring",1655,7787,1510,14,9442,131,2020-08-19,33520
"Howard",380,2965,334,3,3345,43,2020-08-19,13389
"Independence",635,6473,508,3,7108,124,2020-08-19,37264
"Izard",69,1541,54,0,1610,15,2020-08-19,13559
"Jackson",153,2841,70,1,2994,82,2020-08-19,17225
"Jefferson",1776,16892,1473,41,18668,262,2020-08-19,70424
"Johnson",717,5113,676,2,5830,39,2020-08-19,26291
"Lafayette",63,742,56,2,805,5,2020-08-19,6915
"Lawrence",234,2269,210,9,2503,15,2020-08-19,16669
"Lee",983,3088,956,8,4071,19,2020-08-19,9398
"Lincoln",1356,4670,1200,12,6026,144,2020-08-19,13695
"Little River",237,1363,193,5,1600,39,2020-08-19,12417
"Logan",339,4853,261,1,5192,77,2020-08-19,21757
"Lonoke",604,11001,511,2,11605,91,2020-08-19,72206
"Madison",284,2927,277,2,3211,5,2020-08-19,16078
"Marion",37,1483,30,0,1520,7,2020-08-19,16438
"Miller",546,4096,507,5,4642,34,2020-08-19,43759
"Mississippi",1196,8524,981,16,9720,199,2020-08-19,42831
"Monroe",81,1549,60,0,1630,21,2020-08-19,7249
"Montgomery",53,1065,32,1,1118,20,2020-08-19,8993
"Nevada",147,2066,130,9,2213,8,2020-08-19,8440
"Newton",107,1059,92,11,1166,4,2020-08-19,7848
"Ouachita",120,3803,98,3,3923,19,2020-08-19,24106
"Perry",55,1953,50,0,2008,5,2020-08-19,10322
"Phillips",360,4736,311,9,5096,40,2020-08-19,19034
"Pike",151,1616,104,1,1767,46,2020-08-19,10808
"Poinsett",358,4662,277,4,5020,77,2020-08-19,24054
"Polk",186,2813,145,2,2999,39,2020-08-19,20163
"Pope",1499,14336,1311,14,15835,174,2020-08-19,63644
"Prairie",112,1375,93,0,1487,19,2020-08-19,8244
"Pulaski",6284,83199,5385,91,89483,808,2020-08-19,393463
"Randolph",280,3345,217,11,3625,52,2020-08-19,17603
"Saline",1319,17484,1034,10,18803,275,2020-08-19,118009
"Scott",80,1308,63,0,1388,17,2020-08-19,10442
"Searcy",37,1287,31,0,1324,6,2020-08-19,7923
"Sebastian",2552,27578,2146,27,30130,379,2020-08-19,127461
"Sevier",1079,5272,1009,11,6351,59,2020-08-19,17193
"Sharp",128,2528,111,5,2656,12,2020-08-19,17043
"St. Francis",1245,8147,1173,3,9392,69,2020-08-19,26294
"Stone",98,2047,71,1,2145,26,2020-08-19,12446
"Union",589,6247,506,21,6836,62,2020-08-19,39732
"Van Buren",64,2606,53,2,2670,9,2020-08-19,16684
"Washington",6507,47292,6256,53,53799,198,2020-08-19,228529
"White",412,9142,319,5,9554,88,2020-08-19,78804
"Woodruff",26,1211,22,0,1237,4,2020-08-19,6660
"Yell",1097,7036,1046,19,8133,32,2020-08-19,21757
"Arkansas",251,3629,222,2,3880,27,2020-08-18,18124
"Ashley",362,3657,310,6,4019,46,2020-08-18,20537
"Baxter",89,2039,73,0,2128,16,2020-08-18,41219
"Benton",4950,50343,4720,43,55293,187,2020-08-18,258980
"Boone",232,5512,201,2,5744,29,2020-08-18,37288
"Bradley",230,2693,180,4,2923,46,2020-08-18,10948
"Calhoun",22,1141,15,0,1163,7,2020-08-18,5202
"Carroll",401,4978,348,7,5379,46,2020-08-18,27887
"Chicot",926,3846,665,9,4772,252,2020-08-18,10826
"Clark",195,4213,175,2,4408,18,2020-08-18,22385
"Clay",147,2717,121,5,2864,21,2020-08-18,15061
"Cleburne",229,3877,191,5,4106,33,2020-08-18,25230
"Cleveland",121,1669,93,2,1790,26,2020-08-18,8226
"Columbia",250,3261,214,12,3511,24,2020-08-18,23892
"Conway",169,4264,144,3,4433,22,2020-08-18,20906
"Craighead",1512,20531,1345,14,22043,153,2020-08-18,105701
"Crawford",757,11877,598,5,12634,154,2020-08-18,62472
"Crittenden",1503,10882,1342,26,12385,135,2020-08-18,49013
"Cross",229,2780,191,4,3009,34,2020-08-18,16998
"Dallas",71,1229,61,2,1300,8,2020-08-18,7432
"Desha",212,2714,175,3,2926,34,2020-08-18,11887
"Drew",277,4107,196,3,4384,78,2020-08-18,18502
"Faulkner",1412,24086,1296,7,25498,109,2020-08-18,122416
"Franklin",146,3655,128,2,3801,16,2020-08-18,17780
"Fulton",51,735,35,0,786,16,2020-08-18,12139
"Garland",1207,19375,981,18,20582,208,2020-08-18,98298
"Grant",157,3169,139,0,3326,18,2020-08-18,18086
"Greene",548,8383,470,3,8931,75,2020-08-18,44623
"Hempstead",272,3213,238,2,3485,32,2020-08-18,22018
"Hot Spring",1647,7739,1497,14,9386,136,2020-08-18,33520
"Howard",376,2950,319,4,3326,53,2020-08-18,13389
"Independence",626,6437,495,2,7063,129,2020-08-18,37264
"Izard",65,1529,53,0,1594,12,2020-08-18,13559
"Jackson",131,2835,67,1,2966,63,2020-08-18,17225
"Jefferson",1718,16843,1439,41,18561,238,2020-08-18,70424
"Johnson",695,5074,669,2,5769,24,2020-08-18,26291
"Lafayette",62,740,54,2,802,6,2020-08-18,6915
"Lawrence",232,2248,208,9,2480,15,2020-08-18,16669
"Lee",983,3080,957,8,4063,18,2020-08-18,9398
"Lincoln",1355,4665,1200,12,6020,143,2020-08-18,13695
"Little River",227,1355,187,4,1582,36,2020-08-18,12417
"Logan",337,4827,244,1,5164,92,2020-08-18,21757
"Lonoke",589,10931,499,2,11520,88,2020-08-18,72206
"Madison",280,2904,272,2,3184,6,2020-08-18,16078
"Marion",34,1468,30,0,1502,4,2020-08-18,16438
"Miller",541,4083,503,5,4624,33,2020-08-18,43759
"Mississippi",1164,8469,963,15,9633,186,2020-08-18,42831
"Monroe",79,1533,58,0,1612,21,2020-08-18,7249
"Montgomery",45,1061,28,1,1106,16,2020-08-18,8993
"Nevada",147,2059,129,9,2206,9,2020-08-18,8440
"Newton",107,1052,91,11,1159,5,2020-08-18,7848
"Ouachita",118,3790,96,3,3908,19,2020-08-18,24106
"Perry",55,1948,50,0,2003,5,2020-08-18,10322
"Phillips",357,4718,310,9,5075,38,2020-08-18,19034
"Pike",146,1604,101,1,1750,44,2020-08-18,10808
"Poinsett",350,4628,264,4,4978,82,2020-08-18,24054
"Polk",177,2796,139,1,2973,37,2020-08-18,20163
"Pope",1468,14235,1298,12,15703,158,2020-08-18,63644
"Prairie",112,1368,92,0,1480,20,2020-08-18,8244
"Pulaski",6201,82547,5317,91,88748,793,2020-08-18,393463
"Randolph",271,3338,214,11,3609,46,2020-08-18,17603
"Saline",1293,17337,1018,9,18630,266,2020-08-18,118009
"Scott",79,1305,61,0,1384,18,2020-08-18,10442
"Searcy",35,1279,31,0,1314,4,2020-08-18,7923
"Sebastian",2499,27302,2106,23,29801,370,2020-08-18,127461
"Sevier",1074,5231,996,11,6305,67,2020-08-18,17193
"Sharp",126,2520,108,5,2646,13,2020-08-18,17043
"St. Francis",1243,8124,1166,3,9367,74,2020-08-18,26294
"Stone",91,2031,66,1,2122,24,2020-08-18,12446
"Union",578,6241,498,21,6819,59,2020-08-18,39732
"Van Buren",62,2591,52,2,2653,8,2020-08-18,16684
"Washington",6472,47011,6222,53,53483,197,2020-08-18,228529
"White",409,9104,312,4,9513,93,2020-08-18,78804
"Woodruff",25,1204,22,0,1229,3,2020-08-18,6660
"Yell",1093,7007,1043,19,8100,31,2020-08-18,21757
"Arkansas",249,3615,219,2,3864,28,2020-08-17,18124
"Ashley",363,3653,299,6,4016,58,2020-08-17,20537
"Baxter",89,2007,70,0,2096,19,2020-08-17,41219
"Benton",4933,50112,4691,43,55045,199,2020-08-17,258980
"Boone",230,5474,198,2,5704,30,2020-08-17,37288
"Bradley",227,2678,166,4,2905,57,2020-08-17,10948
"Calhoun",16,1110,14,0,1126,2,2020-08-17,5202
"Carroll",395,4932,346,7,5327,42,2020-08-17,27887
"Chicot",925,3836,555,9,4761,361,2020-08-17,10826
"Clark",192,4182,171,2,4374,19,2020-08-17,22385
"Clay",147,2696,116,5,2843,26,2020-08-17,15061
"Cleburne",228,3857,188,5,4085,35,2020-08-17,25230
"Cleveland",121,1660,86,2,1781,33,2020-08-17,8226
"Columbia",244,3253,210,12,3497,22,2020-08-17,23892
"Conway",168,4247,142,3,4415,23,2020-08-17,20906
"Craighead",1498,20343,1309,14,21841,175,2020-08-17,105701
"Crawford",746,11780,585,5,12526,156,2020-08-17,62472
"Crittenden",1493,10844,1323,24,12337,146,2020-08-17,49013
"Cross",228,2769,189,4,2997,35,2020-08-17,16998
"Dallas",68,1214,61,2,1282,5,2020-08-17,7432
"Desha",211,2696,172,2,2907,37,2020-08-17,11887
"Drew",270,4082,186,3,4352,81,2020-08-17,18502
"Faulkner",1402,23944,1269,6,25346,127,2020-08-17,122416
"Franklin",141,3633,124,2,3774,15,2020-08-17,17780
"Fulton",49,730,30,0,779,19,2020-08-17,12139
"Garland",1201,19287,945,17,20488,239,2020-08-17,98298
"Grant",154,3150,132,0,3304,22,2020-08-17,18086
"Greene",544,8321,458,3,8865,83,2020-08-17,44623
"Hempstead",271,3194,234,2,3465,35,2020-08-17,22018
"Hot Spring",1644,7726,1489,13,9370,142,2020-08-17,33520
"Howard",376,2938,317,4,3314,55,2020-08-17,13389
"Independence",621,6384,472,2,7005,147,2020-08-17,37264
"Izard",61,1467,52,0,1528,9,2020-08-17,13559
"Jackson",124,2763,64,1,2887,59,2020-08-17,17225
"Jefferson",1710,16754,1415,41,18464,254,2020-08-17,70424
"Johnson",695,5055,661,2,5750,32,2020-08-17,26291
"Lafayette",61,732,53,2,793,6,2020-08-17,6915
"Lawrence",231,2234,204,9,2465,18,2020-08-17,16669
"Lee",979,3070,955,8,4049,16,2020-08-17,9398
"Lincoln",1348,4565,1197,12,5913,139,2020-08-17,13695
"Little River",219,1354,181,3,1573,35,2020-08-17,12417
"Logan",338,4781,233,1,5119,104,2020-08-17,21757
"Lonoke",580,10836,484,2,11416,94,2020-08-17,72206
"Madison",279,2890,272,2,3169,5,2020-08-17,16078
"Marion",34,1444,29,0,1478,5,2020-08-17,16438
"Miller",538,4074,501,5,4612,32,2020-08-17,43759
"Mississippi",1159,8413,928,14,9572,217,2020-08-17,42831
"Monroe",76,1509,56,0,1585,20,2020-08-17,7249
"Montgomery",44,1058,28,1,1102,15,2020-08-17,8993
"Nevada",147,2049,127,9,2196,11,2020-08-17,8440
"Newton",107,1048,90,11,1155,6,2020-08-17,7848
"Ouachita",118,3779,91,3,3897,24,2020-08-17,24106
"Perry",55,1942,50,0,1997,5,2020-08-17,10322
"Phillips",355,4699,306,9,5054,40,2020-08-17,19034
"Pike",144,1595,98,1,1739,45,2020-08-17,10808
"Poinsett",347,4590,250,4,4937,93,2020-08-17,24054
"Polk",171,2767,135,1,2938,35,2020-08-17,20163
"Pope",1465,14135,1283,12,15600,170,2020-08-17,63644
"Prairie",111,1359,89,0,1470,22,2020-08-17,8244
"Pulaski",6146,81986,5228,88,88132,830,2020-08-17,393463
"Randolph",265,3308,210,11,3573,44,2020-08-17,17603
"Saline",1277,17200,992,8,18477,277,2020-08-17,118009
"Scott",78,1302,56,0,1380,22,2020-08-17,10442
"Searcy",34,1278,31,0,1312,3,2020-08-17,7923
"Sebastian",2456,27086,2055,22,29542,379,2020-08-17,127461
"Sevier",1067,5206,986,11,6273,70,2020-08-17,17193
"Sharp",128,2502,104,5,2630,19,2020-08-17,17043
"St. Francis",1243,8079,1163,3,9322,77,2020-08-17,26294
"Stone",87,2016,65,1,2103,21,2020-08-17,12446
"Union",561,6166,485,20,6727,56,2020-08-17,39732
"Van Buren",58,2582,50,2,2640,6,2020-08-17,16684
"Washington",6442,46838,6186,53,53280,203,2020-08-17,228529
"White",408,9066,308,3,9474,97,2020-08-17,78804
"Woodruff",25,1203,21,0,1228,4,2020-08-17,6660
"Yell",1088,6980,1036,18,8068,34,2020-08-17,21757
"Arkansas",247,3589,215,2,3836,30,2020-08-16,18124
"Ashley",362,3576,295,5,3938,62,2020-08-16,20537
"Baxter",86,1963,68,0,2049,18,2020-08-16,41219
"Benton",4917,49087,4670,43,54004,204,2020-08-16,258980
"Boone",230,5343,194,2,5573,34,2020-08-16,37288
"Bradley",221,2614,157,4,2835,60,2020-08-16,10948
"Calhoun",16,1094,14,0,1110,2,2020-08-16,5202
"Carroll",392,4825,345,7,5217,40,2020-08-16,27887
"Chicot",921,3755,541,9,4676,371,2020-08-16,10826
"Clark",189,4133,170,2,4322,17,2020-08-16,22385
"Clay",146,2638,114,4,2784,28,2020-08-16,15061
"Cleburne",225,3820,183,5,4045,37,2020-08-16,25230
"Cleveland",120,1622,84,2,1742,34,2020-08-16,8226
"Columbia",242,3217,204,12,3459,26,2020-08-16,23892
"Conway",162,4099,140,3,4261,19,2020-08-16,20906
"Craighead",1482,19073,1286,13,20555,183,2020-08-16,105701
"Crawford",736,11532,579,5,12268,152,2020-08-16,62472
"Crittenden",1482,10730,1300,24,12212,158,2020-08-16,49013
"Cross",225,2700,186,4,2925,35,2020-08-16,16998
"Dallas",68,1195,60,2,1263,6,2020-08-16,7432
"Desha",210,2650,170,2,2860,38,2020-08-16,11887
"Drew",260,3990,182,3,4250,75,2020-08-16,18502
"Faulkner",1397,23727,1253,6,25124,138,2020-08-16,122416
"Franklin",140,3559,120,2,3699,18,2020-08-16,17780
"Fulton",48,714,30,0,762,18,2020-08-16,12139
"Garland",1182,18909,925,17,20091,240,2020-08-16,98298
"Grant",150,3086,130,0,3236,20,2020-08-16,18086
"Greene",534,8082,454,3,8616,77,2020-08-16,44623
"Hempstead",267,3108,232,2,3375,33,2020-08-16,22018
"Hot Spring",1643,7606,1486,13,9249,144,2020-08-16,33520
"Howard",374,2701,315,4,3075,55,2020-08-16,13389
"Independence",614,6230,456,2,6844,156,2020-08-16,37264
"Izard",61,1431,49,0,1492,12,2020-08-16,13559
"Jackson",124,2740,63,1,2864,60,2020-08-16,17225
"Jefferson",1696,16393,1404,41,18089,251,2020-08-16,70424
"Johnson",691,4984,657,2,5675,32,2020-08-16,26291
"Lafayette",59,718,52,2,777,5,2020-08-16,6915
"Lawrence",230,2196,200,9,2426,21,2020-08-16,16669
"Lee",977,3037,955,8,4014,14,2020-08-16,9398
"Lincoln",1346,4392,1194,12,5738,140,2020-08-16,13695
"Little River",218,1330,178,3,1548,37,2020-08-16,12417
"Logan",337,4699,222,1,5036,114,2020-08-16,21757
"Lonoke",573,10613,479,2,11186,92,2020-08-16,72206
"Madison",278,2836,268,2,3114,8,2020-08-16,16078
"Marion",33,1429,27,0,1462,6,2020-08-16,16438
"Miller",535,4000,498,5,4535,32,2020-08-16,43759
"Mississippi",1154,8201,891,14,9355,249,2020-08-16,42831
"Monroe",76,1475,55,0,1551,21,2020-08-16,7249
"Montgomery",43,1042,28,1,1085,14,2020-08-16,8993
"Nevada",147,2025,127,9,2172,11,2020-08-16,8440
"Newton",107,1021,89,11,1128,7,2020-08-16,7848
"Ouachita",118,3674,87,3,3792,28,2020-08-16,24106
"Perry",55,1892,50,0,1947,5,2020-08-16,10322
"Phillips",349,4565,299,9,4914,41,2020-08-16,19034
"Pike",140,1517,91,1,1657,48,2020-08-16,10808
"Poinsett",340,4522,236,4,4862,100,2020-08-16,24054
"Polk",161,2715,134,1,2876,26,2020-08-16,20163
"Pope",1449,13916,1263,12,15365,174,2020-08-16,63644
"Prairie",109,1316,88,0,1425,21,2020-08-16,8244
"Pulaski",6085,80549,5166,88,86634,831,2020-08-16,393463
"Randolph",260,3262,206,11,3522,43,2020-08-16,17603
"Saline",1267,16938,976,8,18205,283,2020-08-16,118009
"Scott",78,1271,54,0,1349,24,2020-08-16,10442
"Searcy",34,1265,30,0,1299,4,2020-08-16,7923
"Sebastian",2435,26501,2017,22,28936,396,2020-08-16,127461
"Sevier",1058,5110,978,11,6168,69,2020-08-16,17193
"Sharp",128,2459,103,5,2587,20,2020-08-16,17043
"St. Francis",1238,7846,1155,3,9084,80,2020-08-16,26294
"Stone",86,1982,60,1,2068,25,2020-08-16,12446
"Union",556,6064,480,20,6620,56,2020-08-16,39732
"Van Buren",55,2553,49,2,2608,4,2020-08-16,16684
"Washington",6430,45763,6145,53,52193,232,2020-08-16,228529
"White",394,8972,302,3,9366,89,2020-08-16,78804
"Woodruff",24,1158,21,0,1182,3,2020-08-16,6660
"Yell",1088,6899,1033,17,7987,38,2020-08-16,21757
"Arkansas",246,3565,212,2,3811,32,2020-08-15,18124
"Ashley",352,3570,292,5,3922,55,2020-08-15,20537
"Baxter",81,1939,67,0,2020,14,2020-08-15,41219
"Benton",4900,48950,4655,43,53850,202,2020-08-15,258980
"Boone",225,5300,190,2,5525,33,2020-08-15,37288
"Bradley",218,2595,152,4,2813,62,2020-08-15,10948
"Calhoun",16,1090,14,0,1106,2,2020-08-15,5202
"Carroll",383,4802,343,7,5185,33,2020-08-15,27887
"Chicot",919,3747,535,9,4666,375,2020-08-15,10826
"Clark",186,4103,167,2,4289,17,2020-08-15,22385
"Clay",145,2619,112,4,2764,29,2020-08-15,15061
"Cleburne",220,3800,182,5,4020,33,2020-08-15,25230
"Cleveland",117,1604,83,2,1721,32,2020-08-15,8226
"Columbia",241,3202,196,12,3443,33,2020-08-15,23892
"Conway",162,4069,138,3,4231,21,2020-08-15,20906
"Craighead",1473,18974,1274,13,20447,186,2020-08-15,105701
"Crawford",711,11452,571,5,12163,135,2020-08-15,62472
"Crittenden",1460,10683,1285,24,12143,151,2020-08-15,49013
"Cross",222,2667,184,4,2889,34,2020-08-15,16998
"Dallas",68,1188,58,2,1256,8,2020-08-15,7432
"Desha",210,2640,163,2,2850,45,2020-08-15,11887
"Drew",254,3978,180,3,4232,71,2020-08-15,18502
"Faulkner",1375,23548,1238,6,24923,131,2020-08-15,122416
"Franklin",139,3553,117,2,3692,20,2020-08-15,17780
"Fulton",47,711,30,0,758,17,2020-08-15,12139
"Garland",1169,18791,912,17,19960,240,2020-08-15,98298
"Grant",148,3075,129,0,3223,19,2020-08-15,18086
"Greene",531,8043,438,3,8574,90,2020-08-15,44623
"Hempstead",265,3085,227,2,3350,36,2020-08-15,22018
"Hot Spring",1621,7575,1465,13,9196,143,2020-08-15,33520
"Howard",367,2691,309,4,3058,54,2020-08-15,13389
"Independence",604,6199,439,2,6803,163,2020-08-15,37264
"Izard",62,1425,49,1,1487,12,2020-08-15,13559
"Jackson",124,2725,62,1,2849,61,2020-08-15,17225
"Jefferson",1670,16304,1372,41,17974,257,2020-08-15,70424
"Johnson",687,4967,648,2,5654,37,2020-08-15,26291
"Lafayette",59,714,52,2,773,5,2020-08-15,6915
"Lawrence",229,2185,199,9,2414,21,2020-08-15,16669
"Lee",901,3031,878,8,3932,15,2020-08-15,9398
"Lincoln",1290,3965,1189,12,5255,89,2020-08-15,13695
"Little River",215,1323,172,3,1538,40,2020-08-15,12417
"Logan",334,4669,190,1,5003,143,2020-08-15,21757
"Lonoke",564,10524,461,2,11088,101,2020-08-15,72206
"Madison",277,2831,267,2,3108,8,2020-08-15,16078
"Marion",33,1424,27,0,1457,6,2020-08-15,16438
"Miller",536,3990,492,5,4526,39,2020-08-15,43759
"Mississippi",1133,8143,874,14,9276,245,2020-08-15,42831
"Monroe",73,1461,55,0,1534,18,2020-08-15,7249
"Montgomery",42,1039,28,1,1081,13,2020-08-15,8993
"Nevada",147,2022,126,9,2169,12,2020-08-15,8440
"Newton",107,1017,88,11,1124,8,2020-08-15,7848
"Ouachita",113,3652,85,3,3765,25,2020-08-15,24106
"Perry",55,1877,50,0,1932,5,2020-08-15,10322
"Phillips",346,4524,293,9,4870,44,2020-08-15,19034
"Pike",138,1508,89,1,1646,48,2020-08-15,10808
"Poinsett",336,4490,227,4,4826,105,2020-08-15,24054
"Polk",159,2681,133,1,2840,25,2020-08-15,20163
"Pope",1426,13790,1255,12,15216,159,2020-08-15,63644
"Prairie",108,1307,83,0,1415,25,2020-08-15,8244
"Pulaski",6000,79925,5094,88,85925,818,2020-08-15,393463
"Randolph",255,3254,203,11,3509,41,2020-08-15,17603
"Saline",1239,16774,966,8,18013,265,2020-08-15,118009
"Scott",77,1267,52,0,1344,25,2020-08-15,10442
"Searcy",34,1260,29,0,1294,5,2020-08-15,7923
"Sebastian",2401,26313,1955,22,28714,424,2020-08-15,127461
"Sevier",1053,5096,974,11,6149,68,2020-08-15,17193
"Sharp",127,2432,103,5,2559,19,2020-08-15,17043
"St. Francis",1236,7786,1155,3,9022,78,2020-08-15,26294
"Stone",84,1969,59,1,2053,24,2020-08-15,12446
"Union",553,6045,476,20,6598,57,2020-08-15,39732
"Van Buren",54,2543,48,2,2597,4,2020-08-15,16684
"Washington",6400,45639,6098,53,52039,249,2020-08-15,228529
"White",389,8938,296,3,9327,90,2020-08-15,78804
"Woodruff",24,1157,20,0,1181,4,2020-08-15,6660
"Yell",1085,6878,1031,17,7963,37,2020-08-15,21757
"Arkansas",243,2947,211,1,3190,31,2020-08-14,18124
"Ashley",342,3016,287,5,3358,50,2020-08-14,20537
"Baxter",81,3472,69,0,3553,12,2020-08-14,41219
"Benton",4879,57180,4636,43,62059,200,2020-08-14,258980
"Boone",223,4363,184,2,4586,37,2020-08-14,37288
"Bradley",213,2367,150,4,2580,59,2020-08-14,10948
"Calhoun",17,568,15,0,585,2,2020-08-14,5202
"Carroll",380,4428,340,7,4808,33,2020-08-14,27887
"Chicot",887,3107,534,9,3994,344,2020-08-14,10826
"Clark",185,2980,166,2,3165,17,2020-08-14,22385
"Clay",143,2468,111,4,2611,28,2020-08-14,15061
"Cleburne",210,3441,182,5,3651,23,2020-08-14,25230
"Cleveland",115,1397,83,2,1512,30,2020-08-14,8226
"Columbia",227,2702,187,12,2929,28,2020-08-14,23892
"Conway",161,3256,138,3,3417,20,2020-08-14,20906
"Craighead",1451,17634,1259,12,19085,180,2020-08-14,105701
"Crawford",695,9290,558,5,9985,132,2020-08-14,62472
"Crittenden",1455,9060,1278,24,10515,153,2020-08-14,49013
"Cross",220,2268,180,4,2488,36,2020-08-14,16998
"Dallas",67,941,57,1,1008,9,2020-08-14,7432
"Desha",207,1905,162,2,2112,43,2020-08-14,11887
"Drew",240,3236,180,3,3476,57,2020-08-14,18502
"Faulkner",1370,18140,1232,6,19510,132,2020-08-14,122416
"Franklin",138,3127,114,2,3265,22,2020-08-14,17780
"Fulton",47,1403,29,0,1450,18,2020-08-14,12139
"Garland",1155,14651,900,17,15806,238,2020-08-14,98298
"Grant",144,2322,129,0,2466,15,2020-08-14,18086
"Greene",526,7306,424,3,7832,99,2020-08-14,44623
"Hempstead",260,3022,226,2,3282,32,2020-08-14,22018
"Hot Spring",1599,5764,1461,13,7363,125,2020-08-14,33520
"Howard",364,2606,308,4,2970,52,2020-08-14,13389
"Independence",589,5001,416,2,5590,171,2020-08-14,37264
"Izard",64,1474,49,1,1538,14,2020-08-14,13559
"Jackson",120,3126,62,1,3246,57,2020-08-14,17225
"Jefferson",1657,15015,1355,41,16672,261,2020-08-14,70424
"Johnson",687,2985,645,2,3672,40,2020-08-14,26291
"Lafayette",59,577,52,2,636,5,2020-08-14,6915
"Lawrence",226,2385,194,9,2611,23,2020-08-14,16669
"Lee",901,2943,878,8,3844,15,2020-08-14,9398
"Lincoln",1228,3195,1182,12,4423,34,2020-08-14,13695
"Little River",196,1265,167,3,1461,26,2020-08-14,12417
"Logan",331,4105,179,1,4436,151,2020-08-14,21757
"Lonoke",556,8407,454,2,8963,100,2020-08-14,72206
"Madison",277,2627,265,2,2904,10,2020-08-14,16078
"Marion",33,1340,27,0,1373,6,2020-08-14,16438
"Miller",533,4196,486,5,4729,42,2020-08-14,43759
"Mississippi",1097,7323,858,14,8420,225,2020-08-14,42831
"Monroe",71,1388,54,0,1459,17,2020-08-14,7249
"Montgomery",40,935,29,1,975,10,2020-08-14,8993
"Nevada",146,1641,125,9,1787,12,2020-08-14,8440
"Newton",107,873,89,10,980,8,2020-08-14,7848
"Ouachita",111,3271,86,3,3382,22,2020-08-14,24106
"Perry",55,1508,50,0,1563,5,2020-08-14,10322
"Phillips",336,3928,288,9,4264,39,2020-08-14,19034
"Pike",130,2977,87,1,3107,42,2020-08-14,10808
"Poinsett",324,2793,219,4,3117,101,2020-08-14,24054
"Polk",157,2388,134,1,2545,22,2020-08-14,20163
"Pope",1401,10382,1241,11,11783,149,2020-08-14,63644
"Prairie",107,1148,78,0,1255,29,2020-08-14,8244
"Pulaski",5937,66791,5049,88,72728,800,2020-08-14,393463
"Randolph",252,2917,209,4,3169,39,2020-08-14,17603
"Saline",1184,17308,950,8,18492,226,2020-08-14,118009
"Scott",72,1127,47,0,1199,25,2020-08-14,10442
"Searcy",32,1147,29,0,1179,3,2020-08-14,7923
"Sebastian",2358,23228,1918,21,25586,419,2020-08-14,127461
"Sevier",1034,4605,969,11,5639,54,2020-08-14,17193
"Sharp",125,1880,103,5,2005,17,2020-08-14,17043
"St. Francis",1236,7304,1139,3,8540,94,2020-08-14,26294
"Stone",79,1794,58,1,1873,20,2020-08-14,12446
"Union",539,4581,465,20,5120,54,2020-08-14,39732
"Van Buren",53,1585,48,2,1638,3,2020-08-14,16684
"Washington",6394,25414,6085,53,31808,256,2020-08-14,228529
"White",370,6616,293,3,6986,74,2020-08-14,78804
"Woodruff",23,1099,20,0,1122,3,2020-08-14,6660
"Yell",1086,3838,1031,17,4924,38,2020-08-14,21757
"Arkansas",241,2937,205,1,3178,35,2020-08-13,18124
"Ashley",337,3000,271,5,3337,61,2020-08-13,20537
"Baxter",78,3468,64,0,3546,14,2020-08-13,41219
"Benton",4864,56870,4596,43,61734,225,2020-08-13,258980
"Boone",222,4339,175,2,4561,45,2020-08-13,37288
"Bradley",212,2348,147,4,2560,61,2020-08-13,10948
"Calhoun",17,561,13,0,578,4,2020-08-13,5202
"Carroll",380,4413,335,7,4793,38,2020-08-13,27887
"Chicot",746,3053,516,9,3799,221,2020-08-13,10826
"Clark",183,2960,161,1,3143,21,2020-08-13,22385
"Clay",140,2465,109,4,2605,27,2020-08-13,15061
"Cleburne",210,3433,181,5,3643,24,2020-08-13,25230
"Cleveland",115,1388,79,2,1503,34,2020-08-13,8226
"Columbia",226,2688,183,12,2914,31,2020-08-13,23892
"Conway",161,3216,136,3,3377,22,2020-08-13,20906
