"county","positive","negative","recovered","total_deaths","number_tested","current_infections","date","population"
"Hot Spring",1717,8384,1658,20,10101,39,2020-08-31,33520
"Howard",425,3145,385,5,3570,35,2020-08-31,13389
"Independence",765,7812,666,6,8577,93,2020-08-31,37264
"Izard",102,2760,75,0,2862,27,2020-08-31,13559
"Jackson",183,4583,131,1,4766,51,2020-08-31,17225
"Jefferson",2104,20947,1738,50,23051,316,2020-08-31,70424
"Johnson",765,5600,729,4,6365,32,2020-08-31,26291
"Lafayette",68,789,63,2,857,3,2020-08-31,6915
"Lawrence",249,2699,224,10,2948,15,2020-08-31,16669
"Lee",1003,3290,972,11,4293,20,2020-08-31,9398
"Lincoln",1604,5269,1364,13,6873,227,2020-08-31,13695
"Little River",281,1446,250,14,1727,17,2020-08-31,12417
"Logan",365,5263,335,1,5628,29,2020-08-31,21757
"Lonoke",726,12490,613,4,13216,109,2020-08-31,72206
"Madison",296,3375,288,2,3671,6,2020-08-31,16078
"Marion",45,1664,38,0,1709,7,2020-08-31,16438
"Miller",602,5109,557,8,5711,37,2020-08-31,43759
"Mississippi",1349,9397,1222,21,10746,106,2020-08-31,42831
"Monroe",94,1778,87,0,1872,7,2020-08-31,7249
"Montgomery",101,1259,55,3,1360,43,2020-08-31,8993
"Nevada",162,2191,137,12,2353,13,2020-08-31,8440
"Newton",120,1223,94,15,1343,11,2020-08-31,7848
"Ouachita",158,4190,122,4,4348,32,2020-08-31,24106
"Perry",63,2087,58,1,2150,4,2020-08-31,10322
"Phillips",405,5088,365,9,5493,31,2020-08-31,19034
"Pike",176,1737,163,1,1913,12,2020-08-31,10808
"Poinsett",489,5482,379,6,5971,104,2020-08-31,24054
"Polk",224,3109,205,3,3333,16,2020-08-31,20163
"Pope",1774,15998,1580,16,17772,178,2020-08-31,63644
"Prairie",115,1543,112,0,1658,3,2020-08-31,8244
"Pulaski",7072,93160,6302,106,100232,664,2020-08-31,393463
"Randolph",311,3618,281,12,3929,18,2020-08-31,17603
"Saline",1576,19856,1363,12,21432,201,2020-08-31,118009
"Scott",86,1440,82,0,1526,4,2020-08-31,10442
"Searcy",100,1502,47,0,1602,53,2020-08-31,7923
"Sebastian",2877,31583,2551,33,34460,293,2020-08-31,127461
"Sevier",1157,5559,1115,12,6716,30,2020-08-31,17193
"Sharp",149,2810,126,5,2959,18,2020-08-31,17043
"St. Francis",1345,9804,1250,4,11149,91,2020-08-31,26294
"Stone",193,2362,144,2,2555,47,2020-08-31,12446
"Union",691,6962,588,20,7653,83,2020-08-31,39732
"Van Buren",118,2790,84,2,2908,32,2020-08-31,16684
"Washington",6900,57908,6604,65,64808,231,2020-08-31,228529
"White",528,9944,440,11,10472,77,2020-08-31,78804
"Woodruff",27,1310,26,0,1337,1,2020-08-31,6660
"Yell",1162,7547,1103,23,8709,36,2020-08-31,21757
"Arkansas",282,4016,251,3,4298,28,2020-08-30,18124
"Ashley",388,3983,360,7,4371,21,2020-08-30,20537
"Baxter",137,2575,106,0,2712,31,2020-08-30,41219
"Benton",5334,56686,5038,51,62020,245,2020-08-30,258980
"Boone",356,6320,247,3,6676,106,2020-08-30,37288
"Bradley",289,2932,244,5,3221,40,2020-08-30,10948
"Calhoun",23,1227,21,0,1250,2,2020-08-30,5202
"Carroll",465,5492,411,7,5957,47,2020-08-30,27887
"Chicot",962,4115,919,10,5077,33,2020-08-30,10826
"Clark",229,4630,198,3,4859,28,2020-08-30,22385
"Clay",180,2950,146,6,3130,28,2020-08-30,15061
"Cleburne",258,4315,229,7,4573,22,2020-08-30,25230
"Cleveland",136,1817,121,3,1953,12,2020-08-30,8226
"Columbia",293,3547,247,15,3840,31,2020-08-30,23892
"Conway",202,4639,179,3,4841,20,2020-08-30,20906
"Craighead",1851,23213,1568,15,25064,268,2020-08-30,105701
"Crawford",916,13395,774,9,14311,133,2020-08-30,62472
"Crittenden",1641,11589,1535,34,13230,72,2020-08-30,49013
"Cross",275,3126,233,5,3401,37,2020-08-30,16998
"Dallas",127,1433,70,2,1560,55,2020-08-30,7432
"Desha",239,2905,211,5,3144,23,2020-08-30,11887
"Drew",303,4436,275,4,4739,24,2020-08-30,18502
"Faulkner",1679,26515,1475,8,28194,196,2020-08-30,122416
"Franklin",162,4010,145,2,4172,15,2020-08-30,17780
"Fulton",69,868,52,0,937,17,2020-08-30,12139
"Garland",1407,20859,1240,29,22266,138,2020-08-30,98298
"Grant",192,3430,161,1,3622,30,2020-08-30,18086
"Greene",632,9369,564,4,10001,64,2020-08-30,44623
"Hempstead",330,3414,301,3,3744,26,2020-08-30,22018
"Hot Spring",1717,8299,1656,20,10016,41,2020-08-30,33520
"Howard",423,3132,383,5,3555,35,2020-08-30,13389
"Independence",760,7689,655,6,8449,99,2020-08-30,37264
"Izard",102,2698,72,0,2800,30,2020-08-30,13559
"Jackson",182,4567,126,1,4749,55,2020-08-30,17225
"Jefferson",2091,20701,1721,50,22792,320,2020-08-30,70424
"Johnson",754,5548,720,4,6302,30,2020-08-30,26291
"Lafayette",66,786,63,2,852,1,2020-08-30,6915
"Lawrence",248,2655,224,10,2903,14,2020-08-30,16669
"Lee",1002,3267,972,11,4269,19,2020-08-30,9398
"Lincoln",1600,5112,1356,13,6712,231,2020-08-30,13695
"Little River",278,1437,247,14,1715,17,2020-08-30,12417
"Logan",364,5213,330,1,5577,33,2020-08-30,21757
"Lonoke",717,12333,607,4,13050,106,2020-08-30,72206
"Madison",295,3352,287,2,3647,6,2020-08-30,16078
"Marion",44,1640,37,0,1684,7,2020-08-30,16438
"Miller",601,5052,554,7,5653,40,2020-08-30,43759
"Mississippi",1349,9329,1204,21,10678,124,2020-08-30,42831
"Monroe",94,1764,84,0,1858,10,2020-08-30,7249
"Montgomery",96,1241,53,3,1337,40,2020-08-30,8993
"Nevada",162,2181,137,12,2343,13,2020-08-30,8440
"Newton",120,1193,93,15,1313,12,2020-08-30,7848
"Ouachita",157,4112,118,4,4269,35,2020-08-30,24106
"Perry",63,2067,57,1,2130,5,2020-08-30,10322
"Phillips",404,5049,359,9,5453,36,2020-08-30,19034
"Pike",174,1723,159,1,1897,14,2020-08-30,10808
"Poinsett",486,5420,369,6,5906,111,2020-08-30,24054
"Polk",224,3068,195,3,3292,26,2020-08-30,20163
"Pope",1732,15827,1541,14,17559,177,2020-08-30,63644
"Prairie",115,1523,112,0,1638,3,2020-08-30,8244
"Pulaski",7024,92086,6234,105,99110,685,2020-08-30,393463
"Randolph",309,3575,276,12,3884,21,2020-08-30,17603
"Saline",1567,19561,1350,12,21128,205,2020-08-30,118009
"Scott",86,1418,82,0,1504,4,2020-08-30,10442
"Searcy",100,1470,39,0,1570,61,2020-08-30,7923
"Sebastian",2862,31197,2521,33,34059,308,2020-08-30,127461
"Sevier",1157,5518,1105,12,6675,40,2020-08-30,17193
