county,date,population,cases_population,tested_population,new_cases_today_10k_pop,active_cases_10k_pop,current_infections,positive,new_cases_today,negative,recovered,recovered_since_yesterday,total_deaths,new_deaths_today,number_tested,new_tests_dashboard,pct_positive_cumulative,pct_positive_new_to_dashboard,closed,pct_deaths_vs_recoveries,pct_recoveries_vs_deaths
Jackson,2020-09-01,17225,1.0682148040638606,27.7155297532656,0.5805515239477503,16.25544267053701,28,184,1,4590,155,24,1,0,4774,8,3.8542103058232096,12.5,156,0.641025641025641,99.35897435897436
Jefferson,2020-09-01,70424,2.9989776212654777,32.82119731909576,1.1359763716914688,41.037146427354315,289,2112,8,21002,1773,35,50,0,23114,63,9.137319373539846,12.698412698412698,1823,2.7427317608337902,97.25726823916621
Johnson,2020-09-01,26291,2.9097409759993913,24.259252215587082,0,6.085732760260165,16,765,0,5613,745,16,4,0,6378,13,11.994355597365946,0,749,0.5340453938584779,99.46595460614152
Lafayette,2020-09-01,6915,1.0122921185827911,12.436731742588576,2.8922631959508314,7.230657989877079,5,70,2,790,63,0,2,0,860,3,8.13953488372093,66.66666666666666,65,3.076923076923077,96.92307692307692
Lawrence,2020-09-01,16669,1.4997900293958846,17.78151058851761,0.5999160117583539,8.398824164616954,14,250,1,2714,226,2,10,0,2964,16,8.434547908232119,6.25,236,4.23728813559322,95.76271186440678
Lee,2020-09-01,9398,10.68312406895084,45.74377527133432,1.0640561821664185,20.217067461161946,19,1004,1,3295,974,2,11,0,4299,6,23.354268434519657,16.666666666666664,985,1.116751269035533,98.88324873096447
Lincoln,2020-09-01,13695,11.741511500547645,50.25191675794085,2.9207740051113547,167.21431179262507,229,1608,4,5274,1366,2,13,0,6882,9,23.365300784655624,44.44444444444444,1379,0.9427121102248005,99.0572878897752
Little River,2020-09-01,12417,2.287186921156479,13.948618829024726,2.4160425223483935,12.885560119191432,16,284,3,1448,253,3,15,1,1732,5,16.397228637413395,60,268,5.597014925373134,94.40298507462687
Logan,2020-09-01,21757,1.6776209955416648,25.959461322792666,0,11.950176954543366,26,365,0,5283,338,3,1,0,5648,20,6.462464589235127,0,339,0.2949852507374631,99.70501474926253
Lonoke,2020-09-01,72206,1.0082264631748055,18.58848295155527,0.2769852920809905,13.98775725009002,101,728,2,12694,623,10,4,0,13422,206,5.423930859782447,0.9708737864077669,627,0.6379585326953748,99.36204146730464
Madison,2020-09-01,16078,1.8410250031098394,22.86354024132355,0,3.731807438736161,6,296,0,3380,288,0,2,0,3676,5,8.052230685527748,0,290,0.6896551724137931,99.3103448275862
Marion,2020-09-01,16438,0.27983939652025797,10.506144299793162,0.6083465141744737,4.258425599221317,7,46,1,1681,39,1,0,0,1727,18,2.6635784597568035,5.555555555555555,39,0,100
Miller,2020-09-01,43759,1.3985694371443589,13.089878653534129,2.285244178340456,8.455403459859687,37,612,10,5116,566,9,9,1,5728,17,10.684357541899441,58.82352941176471,575,1.565217391304348,98.43478260869564
Mississippi,2020-09-01,42831,3.156592187901287,25.143003899045084,0.7004272606289836,20.54586631178352,88,1352,3,9417,1242,20,22,1,10769,23,12.554554740458723,13.043478260869565,1264,1.740506329113924,98.25949367088607
Monroe,2020-09-01,7249,1.3105255897365153,25.948406676783005,1.3795006207752794,11.036004966202235,8,95,1,1786,87,0,0,0,1881,9,5.05050505050505,11.11111111111111,87,0,100
Montgomery,2020-09-01,8993,1.1564550205715558,15.890136773045702,3.3359279439564107,45.59101523407094,41,104,3,1325,60,5,3,0,1429,69,7.2778166550035,4.3478260869565215,63,4.761904761904762,95.23809523809523
Nevada,2020-09-01,8440,1.919431279620853,27.985781990521325,0,14.218009478672984,12,162,0,2200,138,1,12,0,2362,9,6.858594411515664,0,150,8,92
Newton,2020-09-01,7848,1.529051987767584,17.16360856269113,0,14.016309887869522,11,120,0,1227,94,0,15,0,1347,4,8.908685968819599,0,109,13.761467889908257,86.23853211009175
Ouachita,2020-09-01,24106,0.6554384800464614,18.09093171824442,0,12.030199950219863,29,158,0,4203,125,3,4,0,4361,13,3.623022242604907,0,129,3.10077519379845,96.89922480620154
Perry,2020-09-01,10322,0.6103468320093005,20.829296647936445,0,2.9064134857585735,3,63,0,2087,59,1,1,0,2150,0,2.9302325581395348,NaN,60,1.6666666666666667,98.33333333333333
Phillips,2020-09-01,19034,2.138278869391615,28.885152884312284,1.0507512871703268,13.659766733214248,26,407,2,5091,371,6,10,1,5498,5,7.402691887959258,40,381,2.6246719160104988,97.3753280839895
Pike,2020-09-01,10808,1.637675795706884,17.764618800888233,0.925240562546262,9.25240562546262,10,177,1,1743,166,3,1,0,1920,7,9.21875,14.285714285714285,167,0.5988023952095809,99.40119760479041
Poinsett,2020-09-01,24054,2.0329259166874536,24.88567390039079,0,40.32593331670408,97,489,0,5497,386,7,6,0,5986,15,8.169061142666221,0,392,1.530612244897959,98.46938775510205
Polk,2020-09-01,20163,1.1159053712245202,16.555076129544215,0.4959579427664534,7.4393691414968,15,225,1,3113,207,2,3,0,3338,5,6.740563211503894,20,210,1.4285714285714286,98.57142857142858
Pope,2020-09-01,63644,2.790522280183521,28.07177424423355,0.31424800452517127,23.41147633712526,149,1776,2,16090,1611,31,16,0,17866,94,9.94066942796373,2.127659574468085,1627,0.9834050399508296,99.01659496004918
Prairie,2020-09-01,8244,1.3949539058709364,20.14798641436196,0,2.42600679281902,2,115,0,1546,113,1,0,0,1661,3,6.923540036122818,0,113,0,100
Pulaski,2020-09-01,393463,1.8098270993714785,25.681449081616314,1.2453521678023092,15.782932575617021,621,7121,49,93926,6391,89,109,3,101047,815,7.047215652122279,6.012269938650307,6500,1.676923076923077,98.32307692307693
Randolph,2020-09-01,17603,1.7667443049480203,22.376867579389877,0,6.8170198261659944,12,311,0,3628,287,6,12,0,3939,10,7.895404925107894,0,299,4.013377926421405,95.9866220735786
Saline,2020-09-01,118009,1.3482022557601538,18.34351617249532,1.2710894931742496,16.86312060944504,199,1591,15,20056,1379,16,13,1,21647,215,7.3497482330115025,6.976744186046512,1392,0.9339080459770116,99.06609195402298
Scott,2020-09-01,10442,0.8235970120666539,14.671518866117603,0,2.873012832790653,3,86,0,1446,83,1,0,0,1532,6,5.613577023498695,0,83,0,100
Searcy,2020-09-01,7923,1.2747696579578442,20.35845008203963,1.2621481761958855,66.89385333838192,53,101,1,1512,48,1,0,0,1613,11,6.261624302541848,9.090909090909092,48,0,100
Sebastian,2020-09-01,127461,2.275205749209562,27.180078612281406,1.80447352523517,19.92766414824927,254,2900,23,31744,2612,61,34,1,34644,184,8.370857868606397,12.5,2646,1.2849584278155708,98.71504157218442
Sevier,2020-09-01,17193,6.741115570290235,39.10893968475542,1.1632641191182458,12.795905310300704,22,1159,2,5565,1125,10,12,0,6724,8,17.236763831052944,25,1137,1.0554089709762533,98.94459102902374
Sharp,2020-09-01,17043,0.8742592266619726,17.379569324649417,0,9.388018541336619,16,149,0,2813,128,2,5,0,2962,3,5.030384875084402,0,133,3.7593984962406015,96.2406015037594
St. Francis,2020-09-01,26294,5.126644861945691,42.45455236936183,1.1409447022134327,33.848026165665175,89,1348,3,9815,1255,5,4,0,11163,14,12.075606915703665,21.428571428571427,1259,0.3177124702144559,99.68228752978554
Stone,2020-09-01,12446,1.574803149606299,20.592961594086454,2.4104129840912742,34.54925277197493,43,196,3,2367,150,6,3,1,2563,8,7.647288333983612,37.5,153,1.9607843137254901,98.0392156862745
Union,2020-09-01,39732,1.7416691835296487,19.291754756871036,0.2516862981979261,18.373099768448604,73,692,1,6973,599,11,20,0,7665,12,9.028049575994782,8.333333333333332,619,3.231017770597738,96.76898222940227
Van Buren,2020-09-01,16684,0.7192519779429393,17.573723327739152,1.1987532965715655,19.180052745145048,32,120,2,2812,86,2,2,0,2932,24,4.092769440654844,8.333333333333332,88,2.272727272727273,97.72727272727273
Washington,2020-09-01,228529,3.0284996652503624,28.44715550324029,0.918920574631666,9.276721991519675,212,6921,21,58089,6641,37,68,3,65010,202,10.646054453161053,10.396039603960396,6709,1.013563869429125,98.98643613057088
White,2020-09-01,78804,0.6763616060098472,13.463783564286077,0.6344855591086747,9.26348916298665,73,533,5,10077,449,9,11,0,10610,138,5.023562676720076,3.6231884057971016,460,2.391304347826087,97.60869565217392
Woodruff,2020-09-01,6660,0.40540540540540543,20.195195195195197,0,1.5015015015015014,1,27,0,1318,26,0,0,0,1345,8,2.0074349442379185,0,26,0,100
Yell,2020-09-01,21757,5.35919474192214,40.157190789171295,1.8384887622374408,15.167532288458887,33,1166,4,7571,1110,7,23,0,8737,28,13.345541948037084,14.285714285714285,1133,2.0300088261253313,97.96999117387467
