county_nam,mydate,deaths,fhwa_numbe,fips,positive,negative,recoveries,total_tests,active_cases,pop_5yr_est_2018,confirmed_pos,probable_pos,confirmed_neg,probable_neg,confirmed_recov,probable_recov,confirmed_death,probable_death,confirmed_active,probable_active,pcr_test,antigen_test,pcr_pos_test,pcr_neg_test,antigen_pos_test,antigen_neg_test,total_pos_test,total_neg_test,New_Cases_Today,Recovered_Since_Yesterday,New_Deaths_Today,New_Tests_Dashboard
Izard,1/7/21,19,65,65,1411,11771,1228,13263,164,13559,1114,297,8963,2808,1016,212,13,6,85,79,10077,3186,1114,8963,378,2808,1492,11771,10,19,1,67
Jackson,1/7/21,24,67,67,2901,19638,2760,22747,117,17225,2314,587,16018,3620,2227,533,18,6,69,48,18332,4415,2314,16018,795,3620,3109,19638,35,7,0,119
Jefferson,1/7/21,133,69,69,7043,64812,6432,72135,476,70424,5862,1181,57511,7301,5544,888,113,20,203,273,63373,8762,5862,57511,1461,7301,7323,64812,51,51,0,614
Johnson,1/7/21,20,71,71,2048,17473,1791,19552,237,26291,1745,303,16608,865,1551,240,17,3,177,60,18353,1199,1745,16608,334,865,2079,17473,24,41,0,84
Lafayette,1/7/21,4,73,73,365,2477,335,2867,25,6915,271,94,2235,242,250,85,4,0,17,8,2506,361,271,2235,119,242,390,2477,4,3,0,23
Lawrence,1/7/21,36,75,75,1683,10600,1513,12355,134,16669,1388,295,9803,797,1260,253,33,3,95,39,11191,1164,1388,9803,367,797,1755,10600,16,16,0,72
Lee,1/7/21,27,77,77,1496,8680,1392,10193,77,9398,1412,84,7918,762,1336,56,26,1,50,27,9330,863,1412,7918,101,762,1513,8680,7,5,1,151
Lincoln,1/7/21,27,79,79,2877,17409,2771,20343,78,13695,2640,237,13429,3980,2573,198,21,6,45,33,16069,4274,2640,13429,294,3980,2934,17409,11,12,0,1221
LittleRiver,1/7/21,39,81,81,876,5713,760,6619,77,12417,704,172,5046,667,608,152,37,2,59,18,5750,869,704,5046,202,667,906,5713,12,9,0,219
Logan,1/7/21,13,83,83,1575,19168,1376,20791,186,21757,1261,314,16235,2933,1162,214,11,2,88,98,17496,3295,1261,16235,362,2933,1623,19168,15,15,0,98
Lonoke,1/7/21,87,85,85,4710,46653,3925,51629,698,72206,3396,1314,39246,7407,2913,1012,74,13,409,289,42642,8987,3396,39246,1580,7407,4976,46653,110,41,0,413
Madison,1/7/21,13,87,87,1114,9590,993,10739,108,16076,880,234,8951,639,799,194,11,2,70,38,9831,908,880,8951,269,639,1149,9590,15,4,0,77
Marion,1/7/21,24,89,89,707,7160,599,7897,84,16438,516,191,6442,718,458,141,11,13,47,37,6958,939,516,6442,221,718,737,7160,16,8,0,52
Miller,1/7/21,25,91,91,2891,15108,2702,18091,164,43759,2070,821,12948,2160,1913,789,17,8,140,24,15018,3073,2070,12948,913,2160,2983,15108,9,25,0,132
MissingCountyInfo,1/7/21,0,5,5,2763,95266,2464,98039,299,NA,2233,530,95193,73,2036,428,0,0,197,102,97426,613,2233,95193,540,73,2773,95266,75,15,0,205
Mississippi,1/7/21,98,93,93,4615,27889,4242,32583,274,42831,4166,449,20245,7644,3838,404,83,15,244,30,24411,8172,4166,20245,528,7644,4694,27889,33,40,1,225
Monroe,1/7/21,9,95,95,532,5321,444,5868,79,7249,446,86,5035,286,375,69,9,0,62,17,5481,387,446,5035,101,286,547,5321,5,7,0,31
Montgomery,1/7/21,21,97,97,550,5441,455,6004,74,8993,407,143,3453,1988,371,84,16,5,20,54,3860,2144,407,3453,156,1988,563,5441,15,3,1,115
Nevada,1/7/21,22,99,99,617,9038,564,9667,31,8440,529,88,8696,342,488,76,21,1,20,11,9225,442,529,8696,100,342,629,9038,1,3,1,27
Newton,1/7/21,24,101,101,592,4869,533,5475,35,7848,498,94,3051,1818,459,74,20,4,19,16,3549,1926,498,3051,108,1818,606,4869,9,5,0,82
Ouachita,1/7/21,34,103,103,1526,12924,1309,14506,182,24106,1317,209,12165,759,1142,167,26,8,148,34,13482,1024,1317,12165,265,759,1582,12924,48,22,0,143
Perry,1/7/21,5,105,105,518,8568,409,9107,104,10322,423,95,7991,577,344,65,4,1,75,29,8414,693,423,7991,116,577,539,8568,3,4,0,36
Phillips,1/7/21,25,107,107,1362,13512,1228,14912,109,19034,1268,94,13143,369,1146,82,24,1,98,11,14411,501,1268,13143,132,369,1400,13512,32,10,0,110
Pike,1/7/21,12,109,109,753,5676,662,6470,79,10808,597,156,5076,600,539,123,8,4,50,29,5673,797,597,5076,197,600,794,5676,10,13,0,87
Poinsett,1/7/21,64,111,111,2557,19213,2273,21846,220,24054,2286,271,18211,1002,2045,228,51,13,190,30,20497,1349,2286,18211,347,1002,2633,19213,39,27,0,157
Polk,1/7/21,48,113,113,1383,9741,1170,11152,164,20163,1208,175,9214,527,1039,131,35,13,133,31,10422,730,1208,9214,203,527,1411,9741,10,17,0,33
Pope,1/7/21,64,115,115,6001,50732,5304,56824,633,63644,4931,1070,48368,2364,4439,865,52,12,440,193,53299,3525,4931,48368,1161,2364,6092,50732,104,97,0,378
Prairie,1/7/21,17,117,117,592,5089,501,5718,74,8244,434,158,4338,751,372,129,12,5,50,24,4772,946,434,4338,195,751,629,5089,7,7,0,44
Pulaski,1/7/21,415,119,119,27300,285720,23246,313767,3637,393463,24129,3171,264096,21624,20779,2467,380,35,2968,669,288225,25542,24129,264096,3918,21624,28047,285720,472,247,3,2599
Randolph,1/7/21,43,121,121,1578,13293,1374,14942,161,17603,1241,337,11400,1893,1108,266,32,11,101,60,12641,2301,1241,11400,408,1893,1649,13293,7,15,0,184
Saline,1/7/21,116,125,125,8427,75120,7304,83920,1006,118009,6534,1893,63421,11699,5743,1561,100,16,690,316,69955,13965,6534,63421,2266,11699,8800,75120,132,80,4,582
Scott,1/7/21,13,127,127,675,7745,536,8440,126,10442,463,212,7414,331,402,134,13,0,48,78,7877,563,463,7414,232,331,695,7745,19,10,1,82
Searcy,1/7/21,13,129,129,533,4742,481,5302,39,7923,328,205,3897,845,309,172,7,6,12,27,4225,1077,328,3897,232,845,560,4742,3,4,0,10
Sebastian,1/7/21,161,131,131,10608,100612,9147,111368,1297,127461,8637,1971,96549,4063,7770,1377,148,13,717,580,105186,6182,8637,96549,2119,4063,10756,100612,118,96,0,407
Sevier,1/7/21,20,133,133,2151,11551,2056,13788,75,17193,1571,580,9753,1798,1528,528,19,1,24,51,11324,2464,1571,9753,666,1798,2237,11551,16,13,0,74
Sharp,1/7/21,35,135,135,1255,11545,1072,12868,148,17043,878,377,9773,1772,782,290,26,9,70,78,10651,2217,878,9773,445,1772,1323,11545,13,18,0,144
St.Francis,1/7/21,21,123,123,2891,23088,2682,26008,188,26294,2739,152,22628,460,2558,124,21,0,160,28,25367,641,2739,22628,181,460,2920,23088,21,22,1,183
Stone,1/7/21,27,137,137,808,7594,711,8435,70,12446,629,179,6663,931,575,136,24,3,30,40,7292,1143,629,6663,212,931,841,7594,6,2,0,70
Union,1/7/21,74,139,139,2667,19425,2314,22223,279,39732,2065,602,16282,3143,1772,542,56,18,237,42,18347,3876,2065,16282,733,3143,2798,19425,42,48,0,215
