county_nam,mydate,deaths,fhwa_numbe,fips,positive,negative,recoveries,total_tests,active_cases,pop_5yr_est_2018,confirmed_pos,probable_pos,confirmed_neg,probable_neg,confirmed_recov,probable_recov,confirmed_death,probable_death,confirmed_active,probable_active,pcr_test,antigen_test,pcr_pos_test,pcr_neg_test,antigen_pos_test,antigen_neg_test,total_pos_test,total_neg_test,New_Cases_Today,Recovered_Since_Yesterday,New_Deaths_Today,New_Tests_Dashboard
Pulaski,11/5/20,226,119,119,12863,183340,11670,196364,965,393463,12122,741,176580,6760,11057,613,212,14,851,114,188702,7662,12122,176580,902,6760,13024,183340,144,84,0,1783
Randolph,11/5/20,26,121,121,718,7370,633,8105,59,17603,560,158,6762,608,498,135,20,6,42,17,7322,783,560,6762,175,608,735,7370,4,9,0,106
Saline,11/5/20,39,125,125,3229,44371,2829,47666,360,118009,2867,362,41074,3297,2578,251,37,2,251,109,43941,3725,2867,41074,428,3297,3295,44371,56,26,1,560
Scott,11/5/20,2,127,127,249,4727,204,4977,43,10442,221,28,4635,92,192,12,2,0,27,16,4856,121,221,4635,29,92,250,4727,13,3,0,115
Searcy,11/5/20,1,129,129,225,3378,201,3602,23,7923,205,20,3108,270,188,13,1,0,16,7,3313,289,205,3108,19,270,224,3378,3,11,0,22
Sebastian,11/5/20,105,131,131,5297,66594,4737,71911,453,127461,4999,298,65843,751,4537,200,97,8,363,90,70842,1069,4999,65843,318,751,5317,66594,78,31,0,719
Sevier,11/5/20,16,133,133,1478,7819,1348,9307,114,17193,1291,187,7312,507,1229,119,16,0,46,68,8603,704,1291,7312,197,507,1488,7819,20,5,0,122
Sharp,11/5/20,10,135,135,407,6361,339,6769,58,17043,337,70,5945,416,289,50,10,0,38,20,6282,487,337,5945,71,416,408,6361,6,6,0,78
St.Francis,11/5/20,10,123,123,1818,14869,1692,16691,116,26294,1787,31,14749,120,1671,21,10,0,106,10,16536,155,1787,14749,35,120,1822,14869,2,5,0,79
Stone,11/5/20,22,137,137,412,4474,381,4889,9,12446,394,18,4315,159,366,15,22,0,6,3,4709,180,394,4315,21,159,415,4474,1,2,0,39
Union,11/5/20,52,139,139,1234,12541,1118,13793,64,39732,1088,146,11232,1309,994,124,46,6,48,16,12320,1473,1088,11232,164,1309,1252,12541,14,12,0,376
VanBuren,11/5/20,3,141,141,223,5907,204,6139,16,16684,209,14,5581,326,195,9,3,0,11,5,5790,349,209,5581,23,326,232,5907,6,2,0,41
Washington,11/5/20,159,143,143,12191,104459,11336,116769,695,228529,10861,1330,97887,6572,10233,1103,141,18,487,208,108748,8021,10861,97887,1449,6572,12310,104459,94,51,2,1021
White,11/5/20,37,145,145,1798,24013,1466,25856,295,78804,1495,303,21575,2438,1237,229,32,5,226,69,23070,2786,1495,21575,348,2438,1843,24013,71,44,0,185
Woodruff,11/5/20,0,147,147,147,2472,116,2623,31,6660,128,19,2382,90,102,14,0,0,26,5,2510,113,128,2382,23,90,151,2472,1,2,0,39
Yell,11/5/20,32,149,149,1384,14371,1315,15754,37,21573,1365,19,14151,220,1303,12,29,3,33,4,15516,238,1365,14151,18,220,1383,14371,10,4,0,272
Arkansas_all_counties,11/4/20,2026,5630,5630,115812,1331131,103762,1448268,10010,2990671,106137,9675,1273985,57146,96433,7329,1854,172,7837,2173,1380122,68146,106137,1273985,11000,57146,117137,1331131,1293,1096,23,14168
Arkansas_county,11/4/20,20,1,1,744,9566,628,10342,96,18124,638,106,7915,1651,548,80,20,0,70,26,8553,1789,638,7915,138,1651,776,9566,10,6,0,53
Ashley,11/4/20,13,3,3,586,6803,514,7395,59,20537,554,32,6569,234,488,26,13,0,53,6,7123,272,554,6569,38,234,592,6803,6,4,0,27
Baxter,11/4/20,12,5,5,824,7317,663,8145,149,41219,663,161,6697,620,543,120,12,0,108,41,7360,785,663,6697,165,620,828,7317,23,11,1,259
Benton,11/4/20,126,7,7,8838,92911,8002,101837,709,258980,7977,861,90294,2617,7371,631,109,17,496,213,98271,3566,7977,90294,949,2617,8926,92911,91,98,-1,580
Boone,11/4/20,38,9,9,1130,15121,987,16266,105,37288,997,133,14877,244,881,106,36,2,80,25,15874,392,997,14877,148,244,1145,15121,16,14,1,88
Bradley,11/4/20,8,11,11,376,4757,358,5134,10,10948,364,12,4104,653,351,7,7,1,6,4,4468,666,364,4104,13,653,377,4757,1,2,0,23
Calhoun,11/4/20,0,13,13,60,2027,53,2087,7,5202,55,5,1981,46,50,3,0,0,5,2,2036,51,55,1981,5,46,60,2027,0,2,0,5
Carroll,11/4/20,19,15,15,1064,9415,983,10488,62,27887,1013,51,9306,109,940,43,19,0,54,8,10319,169,1013,9306,60,109,1073,9415,8,15,0,41
Chicot,11/4/20,23,17,17,1059,6073,1022,7137,14,10826,1042,17,5800,273,1008,14,22,1,12,2,6842,295,1042,5800,22,273,1064,6073,2,2,0,30
Clark,11/4/20,6,19,19,553,9845,487,10412,60,22385,484,69,8884,961,445,42,6,0,33,27,9368,1044,484,8884,83,961,567,9845,10,0,0,301
Clay,11/4/20,15,21,21,536,6841,465,7382,55,15061,477,59,5871,970,429,36,13,2,34,21,6348,1034,477,5871,64,970,541,6841,12,8,0,95
Cleburne,11/4/20,17,23,23,516,9410,455,9932,44,25230,451,65,8642,768,407,48,17,0,27,17,9093,839,451,8642,71,768,522,9410,10,4,0,74
Cleveland,11/4/20,13,25,25,270,3983,217,4258,40,8226,239,31,3846,137,200,17,12,1,27,13,4085,173,239,3846,36,137,275,3983,8,3,0,68
Columbia,11/4/20,22,27,27,768,7471,678,8260,68,23892,642,126,6867,604,582,96,22,0,38,30,7509,751,642,6867,147,604,789,7471,4,8,0,56
Conway,11/4/20,4,29,29,367,8576,341,8943,22,20906,343,24,8216,360,320,21,4,0,19,3,8559,384,343,8216,24,360,367,8576,7,5,0,79
Craighead,11/4/20,50,31,31,5117,50998,4444,56194,622,105701,4770,347,47837,3161,4207,237,46,4,516,106,52607,3587,4770,47837,426,3161,5196,50998,112,55,0,688
Crawford,11/4/20,31,33,33,2250,29740,1989,31993,230,62472,2111,139,29259,481,1888,101,29,2,194,36,31370,623,2111,29259,142,481,2253,29740,26,22,1,199
Crittenden,11/4/20,53,35,35,2588,17758,2309,20349,225,49013,2491,97,17526,232,2251,58,46,7,193,32,20017,332,2491,17526,100,232,2591,17758,27,30,0,234
Cross,11/4/20,22,37,37,635,6773,558,7408,55,16998,561,74,6540,233,505,53,20,2,36,19,7101,307,561,6540,74,233,635,6773,0,6,0,73
Dallas,11/4/20,6,39,39,190,2838,181,3028,3,7432,186,4,2766,72,178,3,6,0,2,1,2952,76,186,2766,4,72,190,2838,2,1,0,18
Desha,11/4/20,7,41,41,441,5203,386,5652,48,11887,411,30,4988,215,371,15,7,0,33,15,5399,253,411,4988,38,215,449,5203,6,7,0,26
Drew,11/4/20,7,43,43,454,7890,419,8349,28,18502,426,28,7176,714,397,22,6,1,23,5,7602,747,426,7176,33,714,459,7890,10,6,0,61
Faulkner,11/4/20,42,45,45,3610,52987,3313,56642,255,122416,3314,296,50126,2861,3091,222,36,6,187,68,53440,3202,3314,50126,341,2861,3655,52987,28,22,1,442
Franklin,11/4/20,2,47,47,589,9240,504,9846,83,17780,534,55,9031,209,465,39,2,0,67,16,9565,281,534,9031,72,209,606,9240,4,5,0,53
Fulton,11/4/20,11,49,49,355,2877,305,3242,39,12139,300,55,2464,413,261,44,9,2,30,9,2764,478,300,2464,65,413,365,2877,4,6,1,89
Garland,11/4/20,76,51,51,2700,41774,2341,44496,283,98296,2562,138,40637,1137,2257,84,71,5,234,49,43199,1297,2562,40637,160,1137,2722,41774,34,28,3,287
Grant,11/4/20,4,53,53,392,7243,357,7644,31,18086,356,36,6731,512,325,32,4,0,27,4,7087,557,356,6731,45,512,401,7243,6,2,0,132
Greene,11/4/20,20,55,55,1762,20752,1437,22544,305,44623,1544,218,19438,1314,1310,127,19,1,215,90,20982,1562,1544,19438,248,1314,1792,20752,48,25,0,312
Hempstead,11/4/20,5,57,57,627,7139,548,7780,74,22018,555,72,6917,222,495,53,5,0,55,19,7472,308,555,6917,86,222,641,7139,22,10,0,156
HotSpring,11/4/20,37,59,59,2352,18731,2117,21092,198,33520,2317,35,18029,702,2092,25,35,2,190,8,20346,746,2317,18029,44,702,2361,18731,50,6,0,210
Howard,11/4/20,14,61,61,631,4627,572,5264,45,13389,561,70,4263,364,511,61,14,0,36,9,4824,440,561,4263,76,364,637,4627,3,5,0,42
Independence,11/4/20,61,63,63,1558,15707,1433,17288,64,37264,1269,289,15197,510,1178,255,54,7,37,27,16466,822,1269,15197,312,510,1581,15707,17,16,1,324
Izard,11/4/20,2,65,65,689,6032,561,6731,126,13559,637,52,5553,479,522,39,2,0,113,13,6190,541,637,5553,62,479,699,6032,4,3,0,93
Jackson,11/4/20,6,67,67,935,10183,683,11160,246,17225,716,219,10085,98,498,185,5,1,213,33,10801,359,716,10085,261,98,977,10183,5,10,0,133
Jefferson,11/4/20,102,69,69,4393,42127,4024,46610,265,70424,4242,151,41364,763,3914,110,97,5,229,36,45606,1004,4242,41364,241,763,4483,42127,64,20,0,599
Johnson,11/4/20,9,71,71,1069,10813,1008,11889,52,26291,1022,47,10529,284,975,33,8,1,39,13,11551,338,1022,10529,54,284,1076,10813,4,13,0,206
Lafayette,11/4/20,3,73,73,213,1550,171,1768,39,6915,181,32,1502,48,151,20,3,0,27,12,1683,85,181,1502,37,48,218,1550,6,2,0,25
Lawrence,11/4/20,22,75,75,917,6479,795,7407,100,16669,808,109,6254,225,709,86,22,0,77,23,7062,345,808,6254,120,225,928,6479,15,14,0,49
Lee,11/4/20,18,77,77,1117,5131,1089,6251,10,9398,1110,7,5084,47,1085,4,17,1,8,2,6194,57,1110,5084,10,47,1120,5131,2,2,0,12
Lincoln,11/4/20,18,79,79,2349,9856,2278,12215,53,13695,2324,25,9716,140,2255,23,17,1,52,1,12040,175,2324,9716,35,140,2359,9856,10,67,0,210
LittleRiver,11/4/20,37,81,81,502,2460,429,2958,36,12417,447,55,2367,93,393,36,32,5,22,14,2814,144,447,2367,51,93,498,2460,11,7,0,27
Logan,11/4/20,5,83,83,619,10498,585,11125,29,21757,593,26,9972,526,568,17,5,0,20,9,10565,560,593,9972,34,526,627,10498,2,3,0,53
Lonoke,11/4/20,34,85,85,1923,29754,1687,31766,202,72206,1555,368,26299,3455,1390,297,32,2,133,69,27854,3912,1555,26299,457,3455,2012,29754,25,22,0,443
Madison,11/4/20,6,87,87,455,5612,421,6071,28,16076,421,34,5413,199,390,31,6,0,25,3,5834,237,421,5413,38,199,459,5612,5,1,0,38
Marion,11/4/20,2,89,89,193,3854,150,4051,41,16438,163,30,3587,267,135,15,1,1,27,14,3750,301,163,3587,34,267,197,3854,10,2,0,124
Miller,11/4/20,22,91,91,1701,9090,1440,10820,239,43759,1367,334,8852,238,1181,259,16,6,170,69,10219,601,1367,8852,363,238,1730,9090,38,39,0,270
MissingCountyInfo,11/4/20,0,5,5,1604,66633,1242,68236,362,NA,1396,208,66624,9,1085,157,0,0,311,51,68020,216,1396,66624,207,9,1603,66633,-134,-20,0,1166
Mississippi,11/4/20,70,93,93,2478,15208,2176,17681,231,42831,2337,141,14762,446,2084,92,57,13,195,36,17099,582,2337,14762,136,446,2473,15208,30,36,1,182
Monroe,11/4/20,2,95,95,235,3206,206,3444,27,7249,221,14,3132,74,195,11,2,0,24,3,3353,91,221,3132,17,74,238,3206,0,1,0,12
Montgomery,11/4/20,8,97,97,195,3022,178,3216,9,8993,191,4,2715,307,174,4,8,0,9,0,2906,310,191,2715,3,307,194,3022,4,1,0,15
Nevada,11/4/20,14,99,99,346,4950,291,5295,41,8440,314,32,4827,123,267,24,13,1,34,7,5141,154,314,4827,31,123,345,4950,6,4,0,121
Newton,11/4/20,21,101,101,328,2664,283,2986,24,7848,300,28,2229,435,264,19,18,3,18,6,2529,457,300,2229,22,435,322,2664,1,2,0,9
Ouachita,11/4/20,9,103,103,410,7735,361,8157,39,24106,389,21,7477,258,340,21,9,0,39,0,7866,291,389,7477,33,258,422,7735,3,9,0,24
Perry,11/4/20,2,105,105,165,4887,133,5057,30,10322,152,13,4715,172,126,7,2,0,24,6,4867,190,152,4715,18,172,170,4887,9,0,0,169
Phillips,11/4/20,16,107,107,793,9016,721,9827,56,19034,771,22,8849,167,703,18,16,0,52,4,9620,207,771,8849,40,167,811,9016,1,8,0,27
Pike,11/4/20,1,109,109,281,2991,265,3272,15,10808,269,12,2820,171,255,10,0,1,14,1,3089,183,269,2820,12,171,281,2991,3,3,0,32
Poinsett,11/4/20,28,111,111,1258,12533,1000,13811,230,24054,1160,98,12228,305,937,63,26,2,197,33,13388,423,1160,12228,118,305,1278,12533,33,17,1,223
Polk,11/4/20,5,113,113,394,5882,351,6280,38,20163,373,21,5752,130,343,8,5,0,25,13,6125,155,373,5752,25,130,398,5882,9,3,0,51
Pope,11/4/20,38,115,115,2896,31305,2677,34210,181,63644,2691,205,30505,800,2536,141,34,4,121,60,33196,1014,2691,30505,214,800,2905,31305,38,26,1,261
Prairie,11/4/20,5,117,117,262,3235,199,3509,58,8244,224,38,2899,336,180,19,5,0,39,19,3123,386,224,2899,50,336,274,3235,10,3,0,36
Pulaski,11/4/20,226,119,119,12719,181701,11586,194573,905,393463,11997,722,175190,6511,10989,597,212,14,794,111,187187,7386,11997,175190,875,6511,12872,181701,128,100,4,1451
Randolph,11/4/20,26,121,121,714,7268,624,7997,64,17603,556,158,6680,588,494,130,20,6,42,22,7236,761,556,6680,173,588,729,7268,14,7,0,81
Saline,11/4/20,38,125,125,3173,43867,2803,47103,331,118009,2834,339,40784,3083,2562,241,36,2,235,96,43618,3485,2834,40784,402,3083,3236,43867,63,29,2,442
Scott,11/4/20,2,127,127,236,4625,201,4862,33,10442,212,24,4540,85,189,12,2,0,21,12,4752,110,212,4540,25,85,237,4625,1,6,0,78
Searcy,11/4/20,1,129,129,222,3359,190,3580,31,7923,204,18,3093,266,177,13,1,0,26,5,3297,283,204,3093,17,266,221,3359,3,4,0,20
Sebastian,11/4/20,105,131,131,5219,65953,4706,71191,406,127461,4943,276,65231,722,4508,198,97,8,336,70,70174,1017,4943,65231,295,722,5238,65953,53,34,2,442
Sevier,11/4/20,16,133,133,1458,7717,1343,9185,99,17193,1283,175,7235,482,1226,117,16,0,41,58,8518,667,1283,7235,185,482,1468,7717,22,13,0,78
Sharp,11/4/20,10,135,135,401,6289,333,6690,58,17043,336,65,5882,407,285,48,10,0,41,17,6218,472,336,5882,65,407,401,6289,7,6,0,223
St.Francis,11/4/20,10,123,123,1816,14792,1687,16612,119,26294,1781,35,14682,110,1666,21,10,0,105,14,16463,149,1781,14682,39,110,1820,14792,3,7,0,53
Stone,11/4/20,22,137,137,411,4436,379,4850,10,12446,393,18,4285,151,364,15,22,0,7,3,4678,172,393,4285,21,151,414,4436,1,3,0,28
Union,11/4/20,52,139,139,1220,12179,1106,13416,62,39732,1079,141,11071,1108,986,120,46,6,47,15,12150,1266,1079,11071,158,1108,1237,12179,21,9,0,54
VanBuren,11/4/20,3,141,141,217,5872,202,6098,12,16684,206,11,5551,321,194,8,3,0,9,3,5757,341,206,5551,20,321,226,5872,0,1,0,14
Washington,11/4/20,157,143,143,12097,103532,11285,115745,654,228529,10814,1283,97105,6427,10197,1088,139,18,478,176,107919,7826,10814,97105,1399,6427,12213,103532,102,92,2,1074
White,11/4/20,37,145,145,1727,23899,1422,25668,268,78804,1437,290,21497,2402,1197,225,32,5,208,60,22934,2734,1437,21497,332,2402,1769,23899,50,46,2,232
Woodruff,11/4/20,0,147,147,146,2434,114,2584,32,6660,126,20,2356,78,100,14,0,0,26,6,2482,102,126,2356,24,78,150,2434,2,6,0,3
Yell,11/4/20,32,149,149,1374,14109,1311,15482,31,21573,1355,19,13898,211,1299,12,29,3,27,4,15253,229,1355,13898,18,211,1373,14109,2,1,0,160
Arkansas_all_counties,11/3/20,2003,5630,5630,114519,1318256,102666,1434044,9836,2990671,105223,9296,1263662,54594,95563,7103,1833,170,7814,2022,1368885,65159,105223,1263662,10565,54594,115788,1318256,878,1159,18,7754
Arkansas_county,11/3/20,20,1,1,734,9523,622,10289,92,18124,633,101,7883,1640,544,78,20,0,69,23,8516,1773,633,7883,133,1640,766,9523,6,8,1,104
Ashley,11/3/20,13,3,3,580,6782,510,7368,57,20537,552,28,6552,230,484,26,13,0,55,2,7104,264,552,6552,34,230,586,6782,4,4,2,23
Baxter,11/3/20,11,5,5,801,7081,652,7886,138,41219,656,145,6465,616,535,117,11,0,110,28,7121,765,656,6465,149,616,805,7081,16,15,0,31
Benton,11/3/20,127,7,7,8747,92422,7904,101251,715,258980,7918,829,89902,2520,7297,607,110,17,510,205,97820,3431,7918,89902,911,2520,8829,92422,96,59,0,487
Boone,11/3/20,37,9,9,1114,15049,973,16178,104,37288,989,125,14813,236,869,104,35,2,85,19,15802,376,989,14813,140,236,1129,15049,10,9,0,32
Bradley,11/3/20,8,11,11,375,4735,356,5111,11,10948,364,11,4089,646,349,7,7,1,8,3,4453,658,364,4089,12,646,376,4735,1,1,0,16
Calhoun,11/3/20,0,13,13,60,2022,51,2082,9,5202,54,6,1977,45,48,3,0,0,6,3,2031,51,54,1977,6,45,60,2022,0,0,0,3
Carroll,11/3/20,19,15,15,1056,9382,968,10447,69,27887,1009,47,9275,107,929,39,19,0,61,8,10284,163,1009,9275,56,107,1065,9382,5,7,0,40
Chicot,11/3/20,23,17,17,1057,6045,1020,7106,14,10826,1040,17,5793,252,1005,15,22,1,13,1,6833,273,1040,5793,21,252,1061,6045,0,2,0,5
Clark,11/3/20,6,19,19,543,9554,487,10111,50,22385,475,68,8682,872,444,43,6,0,25,25,9157,954,475,8682,82,872,557,9554,10,2,1,79
Clay,11/3/20,15,21,21,524,6758,457,7286,51,15061,469,55,5840,918,423,34,13,2,32,19,6309,977,469,5840,59,918,528,6758,5,6,1,75
Cleburne,11/3/20,17,23,23,506,9346,451,9857,38,25230,447,59,8594,752,405,46,17,0,25,13,9041,816,447,8594,64,752,511,9346,4,4,1,92
Cleveland,11/3/20,13,25,25,262,3923,214,4190,35,8226,237,25,3787,136,198,16,12,1,27,8,4024,166,237,3787,30,136,267,3923,3,3,0,54
Columbia,11/3/20,22,27,27,764,7419,670,8203,72,23892,641,123,6845,574,579,91,22,0,40,32,7486,717,641,6845,143,574,784,7419,4,5,0,39
Conway,11/3/20,4,29,29,360,8504,336,8864,20,20906,337,23,8166,338,316,20,4,0,17,3,8503,361,337,8166,23,338,360,8504,-1,0,0,28
Craighead,11/3/20,50,31,31,5005,50422,4389,55503,565,105701,4697,308,47455,2967,4163,226,46,4,487,78,52152,3351,4697,47455,384,2967,5081,50422,33,79,0,494
Crawford,11/3/20,30,33,33,2224,29567,1967,31794,227,62472,2094,130,29124,443,1867,100,28,2,199,28,31218,576,2094,29124,133,443,2227,29567,20,29,0,251
Crittenden,11/3/20,53,35,35,2561,17551,2279,20113,228,49013,2471,90,17337,214,2225,54,46,7,199,29,19808,305,2471,17337,91,214,2562,17551,18,17,0,101
Cross,11/3/20,22,37,37,635,6700,552,7335,61,16998,561,74,6469,231,502,50,20,2,39,22,7030,305,561,6469,74,231,635,6700,7,4,0,37
Dallas,11/3/20,6,39,39,188,2822,180,3010,2,7432,185,3,2752,70,178,2,6,0,1,1,2937,73,185,2752,3,70,188,2822,0,0,0,8
Desha,11/3/20,7,41,41,435,5183,379,5625,49,11887,405,30,4970,213,364,15,7,0,34,15,5375,250,405,4970,37,213,442,5183,2,5,0,33
Drew,11/3/20,7,43,43,444,7839,413,8288,24,18502,418,26,7134,705,391,22,6,1,21,3,7552,736,418,7134,31,705,449,7839,1,0,0,28
Faulkner,11/3/20,41,45,45,3582,52573,3291,56199,250,122416,3292,290,49936,2637,3077,214,35,6,180,70,53228,2971,3292,49936,334,2637,3626,52573,28,27,0,230
Franklin,11/3/20,2,47,47,585,9191,499,9793,84,17780,532,53,8990,201,462,37,2,0,68,16,9522,271,532,8990,70,201,602,9191,5,4,0,93
Fulton,11/3/20,10,49,49,351,2792,299,3153,42,12139,297,54,2426,366,256,43,8,2,33,9,2723,430,297,2426,64,366,361,2792,1,3,0,12
Garland,11/3/20,73,51,51,2666,41521,2313,44207,280,98296,2539,127,40421,1100,2231,82,68,5,240,40,42960,1247,2539,40421,147,1100,2686,41521,6,19,0,82
Grant,11/3/20,4,53,53,386,7117,355,7510,27,18086,352,34,6632,485,323,32,4,0,25,2,6984,526,352,6632,41,485,393,7117,3,5,0,26
Greene,11/3/20,20,55,55,1714,20488,1412,22232,282,44623,1504,210,19210,1278,1294,118,19,1,191,91,20714,1518,1504,19210,240,1278,1744,20488,33,35,0,195
Hempstead,11/3/20,5,57,57,605,7005,538,7625,62,22018,537,68,6789,216,487,51,5,0,45,17,7326,299,537,6789,83,216,620,7005,6,9,0,35
HotSpring,11/3/20,37,59,59,2302,18571,2111,20882,154,33520,2270,32,17931,640,2087,24,35,2,148,6,20201,681,2270,17931,41,640,2311,18571,2,12,0,100
Howard,11/3/20,14,61,61,628,4588,567,5223,47,13389,560,68,4245,343,508,59,14,0,38,9,4805,418,560,4245,75,343,635,4588,3,8,0,16
Independence,11/3/20,60,63,63,1541,15400,1417,16958,64,37264,1261,280,14916,484,1167,250,54,6,40,24,16177,781,1261,14916,297,484,1558,15400,11,10,0,59
Izard,11/3/20,2,65,65,685,5943,558,6638,125,13559,636,49,5483,460,521,37,2,0,113,12,6119,519,636,5483,59,460,695,5943,6,126,0,19
Jackson,11/3/20,6,67,67,930,10055,673,11027,251,17225,715,215,9962,93,493,180,5,1,217,34,10677,350,715,9962,257,93,972,10055,10,36,0,28
Jefferson,11/3/20,102,69,69,4329,41592,4004,46001,221,70424,4189,140,40837,755,3898,106,97,5,192,29,45026,975,4189,40837,220,755,4409,41592,17,55,0,148
Johnson,11/3/20,9,71,71,1065,10611,995,11683,61,26291,1020,45,10343,268,962,33,8,1,50,11,11363,320,1020,10343,52,268,1072,10611,1,7,1,38
Lafayette,11/3/20,3,73,73,207,1531,169,1742,35,6915,179,28,1486,45,151,18,3,0,25,10,1665,77,179,1486,32,45,211,1531,3,3,0,7
Lawrence,11/3/20,22,75,75,902,6445,781,7358,99,16669,798,104,6224,221,698,83,22,0,78,21,7022,336,798,6224,115,221,913,6445,9,15,0,44
Lee,11/3/20,18,77,77,1115,5121,1087,6239,10,9398,1108,7,5073,48,1083,4,17,1,8,2,6181,58,1108,5073,10,48,1118,5121,1,0,0,10
Lincoln,11/3/20,18,79,79,2339,9656,2211,12004,110,13695,2314,25,9520,136,2189,22,17,1,108,2,11834,170,2314,9520,34,136,2348,9656,1,4,0,57
LittleRiver,11/3/20,37,81,81,491,2444,422,2931,32,12417,442,49,2355,89,389,33,32,5,21,11,2797,134,442,2355,45,89,487,2444,1,5,0,38
Logan,11/3/20,5,83,83,617,10447,582,11072,30,21757,593,24,9922,525,565,17,5,0,23,7,10515,557,593,9922,32,525,625,10447,1,5,0,121
Lonoke,11/3/20,34,85,85,1898,29336,1665,31324,199,72206,1539,359,25933,3403,1373,292,32,2,134,65,27472,3852,1539,25933,449,3403,1988,29336,11,31,0,167
Madison,11/3/20,6,87,87,450,5579,420,6032,24,16076,417,33,5390,189,389,31,6,0,22,2,5807,225,417,5390,36,189,453,5579,5,3,0,18
Marion,11/3/20,2,89,89,183,3740,148,3927,33,16438,160,23,3478,262,134,14,1,1,25,8,3638,289,160,3478,27,262,187,3740,3,1,0,20
Miller,11/3/20,22,91,91,1663,8858,1401,10547,240,43759,1345,318,8624,234,1149,252,16,6,180,60,9969,578,1345,8624,344,234,1689,8858,26,38,1,42
MissingCountyInfo,11/3/20,0,5,5,1738,65333,1262,67082,476,NA,1436,302,65326,7,1096,166,0,0,340,136,66762,320,1436,65326,313,7,1749,65333,63,8,0,689
Mississippi,11/3/20,69,93,93,2448,15056,2140,17497,238,42831,2319,129,14682,374,2054,86,56,13,208,30,17001,496,2319,14682,122,374,2441,15056,26,23,0,130
Monroe,11/3/20,2,95,95,235,3194,205,3432,28,7249,221,14,3119,75,195,10,2,0,24,4,3340,92,221,3119,17,75,238,3194,0,2,0,7
Montgomery,11/3/20,8,97,97,191,3011,177,3201,6,8993,188,3,2705,306,174,3,8,0,6,0,2893,308,188,2705,2,306,190,3011,3,1,0,9
Nevada,11/3/20,14,99,99,340,4835,287,5174,39,8440,309,31,4714,121,263,24,13,1,33,6,5023,151,309,4714,30,121,339,4835,1,4,0,65
Newton,11/3/20,21,101,101,327,2656,281,2977,25,7848,299,28,2222,434,262,19,18,3,19,6,2521,456,299,2222,22,434,321,2656,3,4,0,55
Ouachita,11/3/20,9,103,103,407,7714,352,8133,45,24106,386,21,7458,256,331,21,9,0,45,0,7844,289,386,7458,33,256,419,7714,3,8,0,32
Perry,11/3/20,2,105,105,156,4727,133,4888,21,10322,144,12,4559,168,126,7,2,0,16,5,4703,185,144,4559,17,168,161,4727,2,1,0,13
Phillips,11/3/20,16,107,107,792,8990,713,9799,63,19034,770,22,8830,160,695,18,16,0,59,4,9600,199,770,8830,39,160,809,8990,6,10,0,24
Pike,11/3/20,1,109,109,278,2962,262,3240,15,10808,266,12,2794,168,253,9,0,1,13,2,3060,180,266,2794,12,168,278,2962,1,2,0,4
Poinsett,11/3/20,27,111,111,1225,12343,983,13587,215,24054,1133,92,12057,286,921,62,25,2,187,28,13190,397,1133,12057,111,286,1244,12343,15,22,3,106
Polk,11/3/20,5,113,113,385,5840,348,6229,32,20163,368,17,5728,112,340,8,5,0,23,9,6096,133,368,5728,21,112,389,5840,7,1,0,23
Pope,11/3/20,37,115,115,2858,31082,2651,33948,170,63644,2675,183,30297,785,2517,134,33,4,125,45,32972,976,2675,30297,191,785,2866,31082,18,21,0,102
Prairie,11/3/20,5,117,117,252,3209,196,3473,51,8244,215,37,2876,333,180,16,5,0,30,21,3091,382,215,2876,49,333,264,3209,1,2,0,13
Pulaski,11/3/20,222,119,119,12591,180378,11486,193115,881,393463,11884,707,174103,6275,10904,582,208,14,770,111,185987,7128,11884,174103,853,6275,12737,180378,73,117,1,794
Randolph,11/3/20,26,121,121,700,7201,617,7916,57,17603,549,151,6656,545,492,125,20,6,37,20,7205,711,549,6656,166,545,715,7201,5,10,0,65
Saline,11/3/20,36,125,125,3110,43488,2774,46656,299,118009,2795,315,40596,2892,2541,233,34,2,219,80,43391,3265,2795,40596,373,2892,3168,43488,27,28,2,430
Scott,11/3/20,2,127,127,235,4548,195,4784,38,10442,212,23,4466,82,183,12,2,0,27,11,4678,106,212,4466,24,82,236,4548,2,5,0,19
Searcy,11/3/20,1,129,129,219,3342,186,3560,32,7923,202,17,3083,259,175,11,1,0,26,6,3285,275,202,3083,16,259,218,3342,5,2,0,86
Sebastian,11/3/20,103,131,131,5166,65564,4672,70750,389,127461,4910,256,64865,699,4480,192,96,7,332,57,69775,975,4910,64865,276,699,5186,65564,33,39,2,348
Sevier,11/3/20,16,133,133,1436,7661,1330,9107,90,17193,1280,156,7210,451,1221,109,16,0,43,47,8490,617,1280,7210,166,451,1446,7661,19,11,0,45
Sharp,11/3/20,10,135,135,394,6073,327,6467,57,17043,331,63,5763,310,280,47,10,0,41,16,6094,373,331,5763,63,310,394,6073,6,4,0,23
St.Francis,11/3/20,10,123,123,1813,14742,1680,16559,123,26294,1779,34,14639,103,1661,19,10,0,108,15,16418,141,1779,14639,38,103,1817,14742,8,11,0,85
Stone,11/3/20,22,137,137,410,4409,376,4822,12,12446,393,17,4261,148,363,13,22,0,8,4,4654,168,393,4261,20,148,413,4409,1,1,0,42
Union,11/3/20,52,139,139,1199,12146,1097,13356,50,39732,1066,133,11057,1089,980,117,46,6,40,10,12123,1233,1066,11057,144,1089,1210,12146,1,9,0,52
