"","County","Date","Positive","Negative","Recovered","Total_Deaths","Number_Tested","Current_Infections","Population","New_Cases_Today","Recovered_Since_Yesterday","New_Deaths_Today","New_Tests_Dashboard","Cases_Population","Tested_Population","New_Cases_Today_10k_Pop","Active_Cases_10k_Pop","Pct_Positive_Cumulative","Pct_Positive_New_to_Dashboard","Closed","Pct_Deaths_vs_Recoveries","Pct_Recoveries_vs_Deaths"
"1","Arkansas",2020-09-04,293,4135,265,3,4428,25,18124,6,2,0,28,1.61664091811962,24.4316927830501,3.31052747737806,13.7938644890753,6.61698283649503,21.4285714285714,268,1.11940298507463,98.8805970149254
"2","Ashley",2020-09-04,389,4130,373,7,4519,9,20537,1,5,0,25,1.8941422797877,22.004187563909,0.486926035935141,4.38233432341627,8.60809913697721,4,380,1.84210526315789,98.1578947368421
"3","Baxter",2020-09-04,147,2791,121,1,2938,25,41219,3,2,1,67,0.356631650452461,7.12778087775055,0.727819694800941,6.06516412334118,5.00340367597005,4.47761194029851,122,0.819672131147541,99.1803278688525
"4","Benton",2020-09-04,5564,59528,5185,58,65092,321,258980,61,29,0,427,2.14842845007336,25.1339871804773,2.35539423893737,12.394779519654,8.54790143181958,14.2857142857143,5243,1.10623688727828,98.8937631127217
"5","Boone",2020-09-04,392,6694,277,3,7086,112,37288,4,5,0,50,1.05127655009655,19.0034327397554,1.0727311735679,30.0364728599013,5.53203499858877,8,280,1.07142857142857,98.9285714285714
"6","Bradley",2020-09-04,300,3066,269,6,3366,25,10948,0,3,0,18,2.74022652539277,30.7453416149068,0,22.8352210449397,8.9126559714795,0,275,2.18181818181818,97.8181818181818
"7","Calhoun",2020-09-04,23,1267,23,0,1290,0,5202,0,0,0,8,0.442137639369473,24.79815455594,0,0,1.78294573643411,0,23,0,100
"8","Carroll",2020-09-04,482,5759,437,8,6241,37,27887,3,4,1,67,1.72840391580306,22.3796033994334,1.07577007207659,13.2678308889447,7.72312129466432,4.47761194029851,445,1.79775280898876,98.2022471910112
"9","Chicot",2020-09-04,968,4287,929,11,5255,28,10826,4,2,0,48,8.94143728062073,48.5405505265103,3.69480879364493,25.8636615555145,18.4205518553758,8.33333333333333,940,1.17021276595745,98.8297872340426
"10","Clark",2020-09-04,253,4763,214,4,5016,35,22385,10,3,0,34,1.13022113022113,22.4078624078624,4.46727719454992,15.6354701809247,5.04385964912281,29.4117647058824,218,1.8348623853211,98.1651376146789
"11","Clay",2020-09-04,198,3084,162,5,3282,31,15061,8,7,0,39,1.31465374145143,21.7913817143616,5.31173228869265,20.582962618684,6.03290676416819,20.5128205128205,167,2.9940119760479,97.0059880239521
"12","Cleburne",2020-09-04,260,4514,243,7,4774,10,25230,1,4,0,45,1.03051922314705,18.9219183511692,0.396353547364249,3.96353547364249,5.44616673648932,2.22222222222222,250,2.8,97.2
"13","Cleveland",2020-09-04,140,1970,126,6,2110,8,8226,1,1,1,24,1.70192073911986,25.6503768538779,1.2156576707999,9.72526136639922,6.63507109004739,4.16666666666667,132,4.54545454545455,95.4545454545455
"14","Columbia",2020-09-04,312,3679,275,15,3991,22,23892,1,6,0,38,1.30587644399799,16.7043361794743,0.418550142307048,9.20810313075506,7.81758957654723,2.63157894736842,290,5.17241379310345,94.8275862068966
"15","Conway",2020-09-04,213,4807,194,3,5020,16,20906,0,3,0,28,1.01884626423036,24.0122452884339,0,7.653305271214,4.24302788844621,0,197,1.52284263959391,98.4771573604061
"16","Craighead",2020-09-04,2009,24618,1707,16,26627,286,105701,51,40,0,381,1.90064427015828,25.1908685821326,4.82493070075023,27.0574545179327,7.54497314755699,13.3858267716535,1723,0.928612884503772,99.0713871154962
"17","Crawford",2020-09-04,966,14138,853,9,15104,104,62472,14,7,0,196,1.54629273914714,24.1772313996671,2.24100396977846,16.6474580612114,6.39565677966102,7.14285714285714,862,1.04408352668213,98.9559164733179
"18","Crittenden",2020-09-04,1693,11914,1589,35,13607,69,49013,8,4,0,93,3.45418562422215,27.7620223206088,1.63222002325914,14.07789770061,12.4421253766444,8.60215053763441,1624,2.1551724137931,97.8448275862069
"19","Cross",2020-09-04,296,3371,244,5,3667,47,16998,7,1,0,20,1.74138133898106,21.5731262501471,4.11813154488763,27.6503118013884,8.07199345514044,35,249,2.00803212851406,97.9919678714859
"20","Dallas",2020-09-04,132,1509,92,2,1641,38,7432,0,3,0,8,1.77610333692142,22.0801937567277,0,51.1302475780409,8.04387568555759,0,94,2.12765957446809,97.8723404255319
"21","Desha",2020-09-04,252,3054,221,5,3306,26,11887,3,5,0,37,2.11996298477328,27.811895347859,2.52376545806343,21.8726339698831,7.62250453720508,8.10810810810811,226,2.21238938053097,97.787610619469
"22","Drew",2020-09-04,309,4631,290,5,4940,14,18502,0,2,0,25,1.67008972003027,26.6998162360826,0,7.56674954059021,6.25506072874494,0,295,1.69491525423729,98.3050847457627
"23","Faulkner",2020-09-04,1758,27774,1567,9,29532,182,122416,11,20,0,289,1.43608678604104,24.1242974774539,0.8985753496275,14.8673376029277,5.95286468915075,3.80622837370242,1576,0.571065989847716,99.4289340101523
"24","Franklin",2020-09-04,182,4177,154,2,4359,26,17780,4,0,0,34,1.02362204724409,24.5163104611924,2.24971878515186,14.6231721034871,4.1752695572379,11.7647058823529,156,1.28205128205128,98.7179487179487
"25","Fulton",2020-09-04,80,929,64,1,1009,15,12139,3,5,1,15,0.659032869264355,8.31205206359667,2.47137325974133,12.3568662987066,7.92864222001982,20,65,1.53846153846154,98.4615384615385
"26","Garland",2020-09-04,1499,21674,1314,31,23173,154,98298,20,13,1,148,1.52495472949602,23.5742334533765,2.0346293922562,15.6666463203727,6.46873516592586,13.5135135135135,1345,2.30483271375465,97.6951672862454
"27","Grant",2020-09-04,199,3645,173,1,3844,25,18086,2,5,0,26,1.10029857348225,21.2540086254562,1.10582771204246,13.8228464005308,5.17689906347555,7.69230769230769,174,0.574712643678161,99.4252873563218
"28","Greene",2020-09-04,658,9867,595,5,10525,58,44623,6,5,0,137,1.47457589135648,23.5864912713175,1.34459807722475,12.9977814131726,6.25178147268409,4.37956204379562,600,0.833333333333333,99.1666666666667
"29","Hempstead",2020-09-04,335,3500,322,3,3835,10,22018,0,1,0,16,1.52148242347171,17.4175674448179,0,4.54173857752748,8.73533246414602,0,325,0.923076923076923,99.0769230769231
"30","Hot Spring",2020-09-04,1736,8599,1670,21,10335,45,33520,5,1,0,60,5.17899761336515,30.832338902148,1.49164677804296,13.4248210023866,16.7972907595549,8.33333333333333,1691,1.24186871673566,98.7581312832643
"31","Howard",2020-09-04,431,3215,393,5,3646,33,13389,2,1,0,23,3.21906042273508,27.2313092837404,1.49376353723206,24.6470983643289,11.8211738891936,8.69565217391304,398,1.25628140703518,98.7437185929648
"32","Independence",2020-09-04,803,8114,707,8,8917,88,37264,12,5,1,65,2.15489480463718,23.9292614856161,3.22026620867325,23.6152855302705,9.00527083099697,18.4615384615385,715,1.11888111888112,98.8811188811189
"33","Izard",2020-09-04,109,2827,89,0,2936,20,13559,1,6,0,16,0.803894092484696,21.6535142709639,0.737517516041006,14.7503503208201,3.7125340599455,6.25,89,0,100
"34","Jackson",2020-09-04,194,5107,170,1,5301,23,17225,3,9,0,17,1.12626995645864,30.7750362844702,1.74165457184325,13.3526850507983,3.65968685153745,17.6470588235294,171,0.584795321637427,99.4152046783626
"35","Jefferson",2020-09-04,2191,21578,1879,51,23769,261,70424,25,17,0,150,3.11115528797001,33.7512779734182,3.54992616153584,37.0612291264342,9.21788884681728,16.6666666666667,1930,2.64248704663212,97.3575129533679
"36","Johnson",2020-09-04,775,5698,755,4,6473,16,26291,5,4,0,45,2.94777680575102,24.6205925982275,1.9017914875813,6.08573276026017,11.9728101344044,11.1111111111111,759,0.527009222661397,99.4729907773386
"37","Lafayette",2020-09-04,74,802,68,2,876,4,6915,-1,2,0,2,1.07013738250181,12.6681127982646,-1.44613159797542,5.78452639190166,8.44748858447489,-50,70,2.85714285714286,97.1428571428571
"38","Lawrence",2020-09-04,262,2800,231,11,3062,20,16669,4,0,0,31,1.57177995080689,18.3694282800408,2.39966404703342,11.9983202351671,8.5564990202482,12.9032258064516,242,4.54545454545455,95.4545454545455
"39","Lee",2020-09-04,1009,3314,981,11,4323,17,9398,2,1,0,7,10.7363268780592,45.9991487550543,2.12811236433284,18.0889550968291,23.3402729585936,28.5714285714286,992,1.10887096774194,98.8911290322581
"40","Lincoln",2020-09-04,1737,5508,1376,13,7245,348,13695,120,4,0,300,12.6834611171961,52.9025191675794,87.6232201533406,254.107338444688,23.9751552795031,40,1389,0.935925125989921,99.0640748740101
"41","Little River",2020-09-04,299,1466,262,15,1765,22,12417,3,3,0,12,2.4079890472739,14.214383506483,2.41604252234839,17.7176451638882,16.9405099150142,25,277,5.41516245487365,94.5848375451263
"42","Logan",2020-09-04,367,5404,352,1,5771,14,21757,0,3,0,60,1.68681343935285,26.5247966171807,0,6.43471066783104,6.3593831225091,0,353,0.28328611898017,99.7167138810198
"43","Lonoke",2020-09-04,762,13002,666,4,13764,92,72206,13,19,0,110,1.05531396282857,19.0621278010138,1.80040439852644,12.7413234357256,5.53618134263296,11.8181818181818,670,0.597014925373134,99.4029850746269
"44","Madison",2020-09-04,308,3439,297,2,3747,9,16078,6,6,0,31,1.91566115188456,23.3051374549073,3.73180743873616,5.59771115810424,8.21990926074193,19.3548387096774,299,0.668896321070234,99.3311036789298
"45","Marion",2020-09-04,51,1734,41,0,1785,10,16438,3,1,0,25,0.310256722228982,10.8589852780144,1.82503954252342,6.08346514174474,2.85714285714286,12,41,0,100
"46","Miller",2020-09-04,642,5261,587,9,5903,46,43759,4,9,0,94,1.46712676249457,13.4897963847437,0.914097671336182,10.5121232203661,10.8758258512621,4.25531914893617,596,1.51006711409396,98.489932885906
"47","Mississippi",2020-09-04,1401,9620,1268,32,11021,101,42831,13,15,1,97,3.27099530713735,25.7313627979734,3.03518479605893,23.5810511078425,12.7120950911895,13.4020618556701,1300,2.46153846153846,97.5384615384615
"48","Monroe",2020-09-04,97,1815,90,0,1912,7,7249,1,1,0,5,1.33811560215202,26.3760518692233,1.37950062077528,9.65650434542695,5.07322175732218,20,90,0,100
"49","Montgomery",2020-09-04,118,1395,68,4,1513,46,8993,2,4,0,10,1.31213165795619,16.8241965973535,2.22395196263761,51.150895140665,7.7990746860542,20,72,5.55555555555556,94.4444444444444
"50","Nevada",2020-09-04,165,2226,146,12,2391,7,8440,3,4,0,18,1.95497630331754,28.3293838862559,3.55450236966825,8.29383886255924,6.900878293601,16.6666666666667,158,7.59493670886076,92.4050632911392
"51","Newton",2020-09-04,136,1283,95,15,1419,26,7848,2,1,0,7,1.7329255861366,18.0810397553517,2.54841997961264,33.1294597349643,9.58421423537703,28.5714285714286,110,13.6363636363636,86.3636363636364
"52","Ouachita",2020-09-04,175,4316,130,5,4491,40,24106,2,-1,1,37,0.725960341823612,18.6302165435991,0.829668962084128,16.5933792416826,3.89668225339568,5.40540540540541,135,3.7037037037037,96.2962962962963
"53","Perry",2020-09-04,62,2139,59,0,2201,3,10322,0,0,0,21,0.600658787056772,21.3233869405154,0,2.90641348575857,2.8169014084507,0,59,0,100
"54","Phillips",2020-09-04,414,5149,384,10,5563,20,19034,5,1,0,20,2.17505516444258,29.2266470526426,2.62687821792582,10.5075128717033,7.44202768290491,25,394,2.53807106598985,97.4619289340102
"55","Pike",2020-09-04,182,1791,174,1,1973,7,10808,3,4,0,14,1.6839378238342,18.2549962990377,2.77572168763879,6.47668393782383,9.22453117080588,21.4285714285714,175,0.571428571428571,99.4285714285714
"56","Poinsett",2020-09-04,509,5810,424,6,6319,79,24054,6,17,0,59,2.1160721709487,26.2700590338405,2.49438762783737,32.842770433192,8.05507200506409,10.1694915254237,430,1.3953488372093,98.6046511627907
"57","Polk",2020-09-04,232,3193,213,4,3425,15,20163,2,2,0,25,1.15062242721817,16.986559539751,0.991915885532907,7.4393691414968,6.77372262773723,8,217,1.84331797235023,98.1566820276498
"58","Pope",2020-09-04,1819,16547,1669,19,18366,131,63644,13,24,0,165,2.85808560115643,28.8573942555465,2.04261202941361,20.5832442963987,9.90417075029947,7.87878787878788,1688,1.12559241706161,98.8744075829384
"59","Prairie",2020-09-04,120,1592,115,1,1712,4,8244,2,1,0,27,1.45560407569141,20.7666181465308,2.42600679281902,4.85201358563804,7.00934579439252,7.40740740740741,116,0.862068965517241,99.1379310344828
