"","County","Date","Positive","Negative","Recovered","Total_Deaths","Number_Tested","Current_Infections","Population","New_Cases_Today","Recovered_Since_Yesterday","New_Deaths_Today","New_Tests_Dashboard","Cases_Population","Tested_Population","New_Cases_Today_10k_Pop","Active_Cases_10k_Pop","Pct_Positive_Cumulative","Pct_Positive_New_to_Dashboard","Closed","Pct_Deaths_vs_Recoveries","Pct_Recoveries_vs_Deaths"
"1","Arkansas",2020-09-05,294,4162,266,3,4456,25,18124,1,1,0,28,1.62215846391525,24.5861840653277,0.55175457956301,13.7938644890753,6.59784560143627,3.57142857142857,269,1.11524163568773,98.8847583643123
"2","Ashley",2020-09-05,389,4153,375,7,4542,7,20537,0,2,0,23,1.8941422797877,22.1161805521741,0,3.40848225154599,8.56450902686042,0,382,1.83246073298429,98.1675392670157
"3","Baxter",2020-09-05,147,2796,124,1,2943,22,41219,0,3,0,5,0.356631650452461,7.13991120599723,0,5.33734442854024,4.99490316004078,0,125,0.8,99.2
"4","Benton",2020-09-05,5599,60041,5214,59,65640,326,258980,35,29,1,548,2.16194300718202,25.3455865317785,1.3514557108657,12.5878446212063,8.52985984156002,6.38686131386861,5273,1.11890764270814,98.8810923572919
"5","Boone",2020-09-05,393,6716,281,4,7109,108,37288,1,4,1,23,1.05395837803047,19.0651147822356,0.268182793391976,28.9637416863334,5.52820368546912,4.34782608695652,285,1.40350877192982,98.5964912280702
"6","Bradley",2020-09-05,303,3074,276,6,3377,21,10948,3,7,0,11,2.76762879064669,30.8458165875046,2.74022652539277,19.1815856777494,8.97246076399171,27.2727272727273,282,2.12765957446809,97.8723404255319
"7","Calhoun",2020-09-05,23,1269,23,0,1292,0,5202,0,0,0,2,0.442137639369473,24.8366013071895,0,0,1.78018575851393,0,23,0,100
"8","Carroll",2020-09-05,486,5797,440,8,6283,38,27887,4,3,0,42,1.74274751676408,22.5302112095242,1.43436009610213,13.6264209129702,7.73515836383893,9.52380952380952,448,1.78571428571429,98.2142857142857
"9","Chicot",2020-09-05,969,4304,933,11,5273,25,10826,1,4,0,18,8.95067430260484,48.7068169222243,0.923702198411232,23.0925549602808,18.3766356912573,5.55555555555556,944,1.16525423728814,98.8347457627119
"10","Clark",2020-09-05,255,4783,217,4,5038,34,22385,2,3,0,22,1.13915568461023,22.5061425061425,0.893455438909984,15.1887424614697,5.06153235410877,9.09090909090909,221,1.80995475113122,98.1900452488688
"11","Clay",2020-09-05,203,3103,163,5,3306,35,15061,5,1,0,24,1.34785206825576,21.9507336830224,3.31983268043291,23.2388287630303,6.14035087719298,20.8333333333333,168,2.97619047619048,97.0238095238095
"12","Cleburne",2020-09-05,264,4552,244,7,4816,13,25230,4,1,0,42,1.04637336504162,19.0883868410622,1.585414189457,5.15259611573524,5.48172757475083,9.52380952380952,251,2.78884462151394,97.2111553784861
"13","Cleveland",2020-09-05,141,1979,127,6,2120,8,8226,1,1,0,10,1.71407731582786,25.7719426209579,1.2156576707999,9.72526136639922,6.65094339622642,10,133,4.51127819548872,95.4887218045113
"14","Columbia",2020-09-05,315,3683,275,15,3998,25,23892,3,0,0,7,1.3184329482672,16.7336346894358,1.25565042692115,10.4637535576762,7.87893946973487,42.8571428571429,290,5.17241379310345,94.8275862068966
"15","Conway",2020-09-05,216,4828,195,3,5044,18,20906,3,1,0,24,1.03319621161389,24.1270448675022,1.43499473835263,8.60996843011576,4.28231562252181,12.5,198,1.51515151515152,98.4848484848485
"16","Craighead",2020-09-05,2022,24839,1726,16,26861,280,105701,13,19,0,234,1.91294311312097,25.4122477554612,1.22988429626967,26.489815611962,7.52764230669,5.55555555555556,1742,0.918484500574053,99.0815154994259
"17","Crawford",2020-09-05,971,14266,859,9,15237,103,62472,5,6,0,133,1.55429632475349,24.390126776796,0.800358560635165,16.4873863490844,6.37264553389775,3.7593984962406,868,1.036866359447,98.963133640553
"18","Crittenden",2020-09-05,1703,11958,1595,35,13661,73,49013,10,6,0,54,3.47458837451288,27.8721971721788,2.04027502907392,14.8940077122396,12.4661444989386,18.5185185185185,1630,2.14723926380368,97.8527607361963
"19","Cross",2020-09-05,303,3422,249,5,3725,49,16998,7,5,0,58,1.78256265442993,21.9143428638663,4.11813154488763,28.8269208142134,8.13422818791946,12.0689655172414,254,1.96850393700787,98.0314960629921
"20","Dallas",2020-09-05,135,1520,93,2,1655,40,7432,3,1,0,14,1.81646932185145,22.2685683530678,4.03659849300323,53.8213132400431,8.1570996978852,21.4285714285714,95,2.10526315789474,97.8947368421053
"21","Desha",2020-09-05,252,3057,223,5,3309,24,11887,0,2,0,3,2.11996298477328,27.8371330024396,0,20.1901236645074,7.61559383499547,0,228,2.19298245614035,97.8070175438597
