"","Date","Negative","Number_Tested","New_Tests_Dashboard","Tested_Population","Pct_Positive_Cumulative","Pct_Positive_New_to_Dashboard"
"1",2020-09-03,684236,747317,9868,24.7636029377653,8.4409962572777,9.8196189704094
"2",2020-09-02,675337,737449,6424,24.4366101973488,8.42254854233988,9.57347447073474
"3",2020-09-01,669528,731025,665109,24.2237401766318,8.41243459526008,0.0410459037541215
"4",2020-08-31,665811,727035,14348,24.0915248306384,8.42105263157895,2.56481739615277
"5",2020-08-30,651831,712687,5717,23.6160797719136,8.53895188210252,8.36102851145706
"6",2020-08-29,646592,706970,8915,23.4266373826796,8.54039068135847,8.91755468311834
"7",2020-08-28,638472,698055,8027,23.1312238965818,8.53557384446784,10.4397657904572
"8",2020-08-27,631283,690028,6755,22.86523578072,8.51342264371881,10.6883789785344
"9",2020-08-26,625250,683273,4716,22.6413975195208,8.49192050615201,13.7616624257846
"10",2020-08-25,621183,678557,4853,22.4851249451588,8.45529557575856,9.89078920255512
"11",2020-08-24,616810,673704,2878,22.3243126458842,8.44495505444528,11.1188325225851
"12",2020-08-23,614252,670826,5501,22.2289452860424,8.43348349646555,6.8169423741138
"13",2020-08-22,609126,665325,6734,22.0466604192983,8.44684928418442,8.12295812295812
"14",2020-08-21,602939,658591,10082,21.8235180283411,8.4501610255834,8.79785756794287
"15",2020-08-20,593744,648509,7229,21.4894340387911,8.4447555855046,7.59441139853368
"16",2020-08-19,587064,641280,4550,21.2498889921281,8.45434131736527,16.021978021978
"17",2020-08-18,583243,636730,4078,21.0991171063462,8.40026384809888,10.0539480137322
"18",2020-08-17,579575,632652,10602,20.9639857326718,8.38960439546544,3.88605923410677
"19",2020-08-16,569385,622050,5949,20.612670670461,8.46636122498191,11.3128256849891
"20",2020-08-15,564109,616101,27441,20.415540571886,8.43887609336781,-1.45767282533435
"21",2020-08-14,536268,588660,5180,19.5062369855696,8.90021404545918,12.0849420849421
"22",2020-08-13,531714,583480,4692,19.3345889925257,8.87194076917804,13.8959931798806
"23",2020-08-12,527674,578788,5920,19.1791116984403,8.83121281021721,11.875
"24",2020-08-11,522457,572868,3548,18.982942563533,8.79975840856881,10.7948139797069
"25",2020-08-10,519292,569320,5489,18.8653736293013,8.78732523009907,11.7507742758244
"26",2020-08-09,514448,563831,5757,18.6834864026955,8.7584755006376,9.93573041514678
"27",2020-08-08,509263,558074,6551,18.4927185463337,8.74633113171372,11.7844603877271
"28",2020-08-07,503484,551523,7160,18.275640167486,8.71024417839329,14.1201117318436
"29",2020-08-06,497335,544363,5262,18.0383815516183,8.63908825544719,13.9680729760547
